Addendum BB -- Final ASC Covered Ancillary Services Integral to Covered Surgical Procedures for CY 2021 (Including Ancillary Services for Which Payment is Packaged)							
CPT codes and descriptions only are copyright 2020 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2020 American Dental Association.  All Rights Reserved.							
							
HCPCS Code		Short Descriptor	CY 2021 Comment Indicator	Drug Pass-Through Expiration during Calendar Year	Final CY 2021 Payment Indicator	Final CY 2021 Payment Weight  	Final CY 2021 Payment Rate 
78291		Leveen/shunt patency exam			Z2	3.8929	$190.57
78299		Gi nuclear procedure			Z2	3.8929	$190.57
78300		Bone imaging limited area			Z2	3.8929	$190.57
78305		Bone imaging multiple areas			Z2	3.8929	$190.57
78306		Bone imaging whole body			Z2	3.8929	$190.57
78315		Bone imaging 3 phase			Z2	3.8929	$190.57
78399		Musculoskeletal nuclear exam			Z2	3.8929	$190.57
78414		Non-imaging heart function			Z2	5.0520	$247.31
78428		Cardiac shunt imaging			Z2	3.8929	$190.57
78429		Myocrd img pet 1 std w/ct			Z2	15.2813	$748.05
78430		Myocrd img pet rst/strs w/ct			Z2	15.2813	$748.05
78431		Myocrd img pet rst&strs ct			Z2	23.2315	"$1,137.23"
78432		Myocrd img pet 2rtracer			Z2	28.3930	"$1,389.89"
78433		Myocrd img pet 2rtracer ct			Z2	28.3930	"$1,389.89"
78434		Aqmbf pet rest & rx stress			N1		
78445		Vascular flow imaging			Z2	3.8929	$190.57
78451		Ht muscle image spect sing			Z2	13.4810	$659.92
78452		Ht muscle image spect mult			Z2	13.4810	$659.92
78453		Ht muscle image planar sing			Z2	13.4810	$659.92
78454		Ht musc image planar mult			Z2	13.4810	$659.92
78456		Acute venous thrombus image			Z2	13.4810	$659.92
78457		Venous thrombosis imaging			Z2	5.0520	$247.31
78458		Ven thrombosis images bilat			Z2	3.8929	$190.57
78459		Myocrd img pet single study			Z2	13.4810	$659.92
78466		Heart infarct image			Z2	3.8929	$190.57
78468		Heart infarct image (ef)			Z2	5.0520	$247.31
78469		Heart infarct image (3d)			Z2	5.0520	$247.31
78472		Gated heart planar single			Z2	3.8929	$190.57
78473		Gated heart multiple			Z2	3.8929	$190.57
78481		Heart first pass single			Z2	5.0520	$247.31
78483		Heart first pass multiple			Z2	5.0520	$247.31
78491		Myocrd img pet 1std rst/strs			Z2	15.2813	$748.05
78492		Myocrd img pet mlt rst&strs			Z2	15.2813	$748.05
78494		Heart image spect			Z2	3.8929	$190.57
78496		Heart first pass add-on			N1		
78499		Cardiovascular nuclear exam			Z2	3.8929	$190.57
78579		Lung ventilation imaging			Z2	3.8929	$190.57
78580		Lung perfusion imaging			Z2	3.8929	$190.57
78582		Lung ventilat&perfus imaging			Z2	5.0520	$247.31
78597		Lung perfusion differential			Z2	3.8929	$190.57
78598		Lung perf&ventilat diferentl			Z2	5.0520	$247.31
78599		Respiratory nuclear exam			Z2	3.8929	$190.57
78600		Brain image < 4 views			Z2	3.8929	$190.57
78601		Brain image w/flow < 4 views			Z2	3.8929	$190.57
78605		Brain image 4+ views			Z2	5.0520	$247.31
78606		Brain image w/flow 4 + views			Z2	5.0520	$247.31
78608		Brain imaging (pet)			Z2	15.2813	$748.05
78610		Brain flow imaging only			Z2	5.0520	$247.31
78630		Cerebrospinal fluid scan			Z2	5.0520	$247.31
78635		Csf ventriculography			Z2	5.0520	$247.31
78645		Csf shunt evaluation			Z2	5.0520	$247.31
78650		Csf leakage imaging			Z2	13.4810	$659.92
78660		Nuclear exam of tear flow			Z2	3.8929	$190.57
78699		Nervous system nuclear exam			Z2	3.8929	$190.57
78700		Kidney imaging morphol			Z2	3.8929	$190.57
78701		Kidney imaging with flow			Z2	3.8929	$190.57
78707		K flow/funct image w/o drug			Z2	5.0520	$247.31
78708		K flow/funct image w/drug			Z2	5.0520	$247.31
78709		K flow/funct image multiple			Z2	5.0520	$247.31
78725		Kidney function study			Z2	3.8929	$190.57
78730		Urinary bladder retention			N1		
78740		Ureteral reflux study			Z2	3.8929	$190.57
78761		Testicular imaging w/flow			Z2	3.8929	$190.57
78799		Genitourinary nuclear exam			Z2	3.8929	$190.57
78800		Rp loclzj tum 1 area 1 d img			Z2	3.8929	$190.57
78801		Rp loclzj tum 2+area 1+d img			Z2	3.8929	$190.57
78802		Rp loclzj tum whbdy 1 d img			Z2	13.4810	$659.92
78803		Rp loclzj tum spect 1 area			Z2	13.4810	$659.92
78804		Rp loclzj tum whbdy 2+d img			Z2	13.4810	$659.92
78808		Iv inj ra drug dx study			N1		
78811		Pet image ltd area			Z2	13.4810	$659.92
78812		Pet image skull-thigh			Z2	15.2813	$748.05
78813		Pet image full body			Z2	15.2813	$748.05
78814		Pet image w/ct lmtd			Z2	15.2813	$748.05
78815		Pet image w/ct skull-thigh			Z2	15.2813	$748.05
78816		Pet image w/ct full body			Z2	15.2813	$748.05
78830		Rp loclzj tum spect w/ct 1			Z2	13.4810	$659.92
78831		Rp loclzj tum spect 2 areas			Z2	13.4810	$659.92
78832		Rp loclzj tum spect w/ct 2			Z2	15.2813	$748.05
78999		Nuclear diagnostic exam			Z2	3.8929	$190.57
79005		Nuclear rx oral admin			Z3		$51.99
79101		Nuclear rx iv admin			Z3		$53.74
79200		Nuclear rx intracav admin			Z3		$55.13
79300		Nuclr rx interstit colloid			Z2	2.5768	$126.14
79403		Hematopoietic nuclear tx			Z3		$82.35
79440		Nuclear rx intra-articular			Z3		$41.17
79445		Nuclear rx intra-arterial			Z2	2.5768	$126.14
79999		Nuclear medicine therapy			Z2	2.5768	$126.14
90371		Hep b ig im			K2		$126.86
90375		Rabies ig im/sc			K2		$271.37
90376		Rabies ig heat treated			K2		$237.37
90377		Rabies ig ht&sol human im/sc	NC		K5		
90378		Rsv mab im 50mg			K2		"$1,185.67"
90393		Vaccina ig im			K5		
90396		Varicella-zoster ig im			K2		"$1,912.39"
90476		Adenovirus vaccine type 4			N1		
90581		Anthrax vaccine sc or im			K5		
90630	**	Flu vacc iiv4 no preserv id			L1		
90632		Hepa vaccine adult im			N1		
90633		Hepa vacc ped/adol 2 dose im			N1		
90634		Hepa vacc ped/adol 3 dose			N1		
90636		Hep a/hep b vacc adult im			N1		
90647		Hib prp-omp vacc 3 dose im			N1		
90648		Hib prp-t vaccine 4 dose im			N1		
90653	**	Iiv adjuvant vaccine im			L1		
90654	**	Flu vacc iiv3 no preserv id			L1		
90655	**	Iiv3 vacc no prsv 0.25 ml im			L1		
90656	**	Iiv3 vacc no prsv 0.5 ml im			L1		
90657	**	Iiv3 vaccine splt 0.25 ml im			L1		
90660	**	Laiv3 vaccine intranasal			L1		
90661	**	Cciiv3 vac no prsv 0.5 ml im			L1		
90662	**	Iiv no prsv increased ag im			L1		
90670	**	Pcv13 vaccine im			L1		
90672	**	Laiv4 vaccine intranasal			L1		
90673	**	Riv3 vaccine no preserv im			L1		
90674	**	Cciiv4 vac no prsv 0.5 ml im			L1		
90675		Rabies vaccine im			K2		$318.06
90676		Rabies vaccine id			K2		$189.63
90680		Rv5 vacc 3 dose live oral			N1		
90682	**	Riv4 vacc recombinant dna im			L1		
90685	**	Iiv4 vacc no prsv 0.25 ml im			L1		
90686	**	Iiv4 vacc no prsv 0.5 ml im			L1		
90687	**	Iiv4 vaccine splt 0.25 ml im			L1		
90688	**	Iiv4 vaccine splt 0.5 ml im			L1		
90689	**	Vacc iiv4 no prsrv 0.25ml im			L1		
90690		Typhoid vaccine oral			N1		
90691		Typhoid vaccine im			N1		
90694		Vacc aiiv4 no prsrv 0.5ml im	CH		L1		
90696		Dtap-ipv vaccine 4-6 yrs im			N1		
90698		Dtap-ipv/hib vaccine im			N1		
90717		Yellow fever vaccine subq			N1		
90732	**	Ppsv23 vacc 2 yrs+ subq/im			L1		
90740	**	Hepb vacc 3 dose immunsup im			F4		
90743	**	Hepb vacc 2 dose adolesc im			F4		
90744	**	Hepb vacc 3 dose ped/adol im			F4		
90746	**	Hepb vaccine 3 dose adult im			F4		
90747	**	Hepb vacc 4 dose immunsup im			F4		
90749		Vaccine toxoid			N1		
90756	**	Cciiv4 vacc abx free im			L1		
91035		G-esoph reflx tst w/electrod			Z2	5.0353	$246.49
A9500		Tc99m sestamibi			N1		
A9501		Technetium tc-99m teboroxime			N1		
A9502		Tc99m tetrofosmin			N1		
A9503		Tc99m medronate			N1		
A9504		Tc99m apcitide			N1		
A9505		Tl201 thallium			N1		
A9507		In111 capromab			N1		
A9508		"I131 iodobenguate, dx"			N1		
A9509		Iodine i-123 sod iodide mil			N1		
A9510		Tc99m disofenin			N1		
A9512		Tc99m pertechnetate			N1		
A9515		Choline c-11			N1		
A9516		Iodine i-123 sod iodide mic			N1		
A9520		Tc99 tilmanocept diag 0.5mci			N1		
A9521		Tc99m exametazime			N1		
A9524		"I131 serum albumin, dx"			N1		
A9526		Nitrogen n-13 ammonia			N1		
A9527		Iodine i-125 sodium iodide			H2		$26.73
A9528		"Iodine i-131 iodide cap, dx"			N1		
A9529		"I131 iodide sol, dx"			N1		
A9531		I131 max 100uci			N1		
A9532		"I125 serum albumin, dx"			N1		
A9536		Tc99m depreotide			N1		
A9537		Tc99m mebrofenin			N1		
A9538		Tc99m pyrophosphate			N1		
A9539		Tc99m pentetate			N1		
A9540		Tc99m maa			N1		
A9541		Tc99m sulfur colloid			N1		
A9542		"In111 ibritumomab, dx"			N1		
A9546		Co57/58			N1		
A9547		In111 oxyquinoline			N1		
A9548		In111 pentetate			N1		
A9550		Tc99m gluceptate			N1		
A9551		Tc99m succimer			N1		
A9552		F18 fdg			N1		
A9553		Cr51 chromate			N1		
A9554		"I125 iothalamate, dx"			N1		
A9555		Rb82 rubidium			N1		
A9556		Ga67 gallium			N1		
A9557		Tc99m bicisate			N1		
A9558		Xe133 xenon 10mci			N1		
A9559		Co57 cyano			N1		
A9560		Tc99m labeled rbc			N1		
A9561		Tc99m oxidronate			N1		
A9562		Tc99m mertiatide			N1		
A9566		Tc99m fanolesomab			N1		
A9567		Technetium tc-99m aerosol			N1		
A9568		Technetium tc99m arcitumomab			N1		
A9569		Technetium tc-99m auto wbc			N1		
A9570		Indium in-111 auto wbc			N1		
A9571		Indium in-111 auto platelet			N1		
A9572		Indium in-111 pentetreotide			N1		
A9575		Inj gadoterate meglumi 0.1ml			N1		
A9576		Inj prohance multipack			N1		
A9577		Inj multihance			N1		
A9578		Inj multihance multipack			N1		
A9579		"Gad-base mr contrast nos,1ml"			N1		
A9580		Sodium fluoride f-18			N1		
A9581		Gadoxetate disodium inj			N1		
A9582		Iodine i-123 iobenguane			N1		
A9583		Gadofosveset trisodium inj			N1		
A9584		Iodine i-123 ioflupane			N1		
A9585		Gadobutrol injection			N1		
A9586		Florbetapir f18	CH		N1		
A9587		Gallium ga-68			N1		
A9588		Fluciclovine f-18			N1		
A9590		Iodine i-131 iobenguane 1mci			K2		$320.12
A9591		Fluoroestradiol f 18	NI 		K2		$0.77
A9597		"Pet, dx, for tumor id, noc"			N1		
A9598		"Pet dx for non-tumor id, noc"			N1		
A9698		Non-rad contrast materialnoc			N1		
A9700		Echocardiography contrast			N1		
C1052		"Hemostatic agent, gi, topic"	NI		J7		
C1062		Intravertebral fx aug impl	NI		J7		
C1713		"Anchor/screw bn/bn,tis/bn"			N1		
C1714		"Cath, trans atherectomy, dir"			N1		
C1715		Brachytherapy needle			N1		
C1716		"Brachytx, non-str, gold-198"			H2		$288.36
C1717		"Brachytx, non-str,hdr ir-192"			H2		$334.69
C1719		"Brachytx, ns, non-hdrir-192"			H2		$282.44
C1721		"Aicd, dual chamber"			N1		
C1722		"Aicd, single chamber"			N1		
C1724		"Cath, trans atherec,rotation"			N1		
C1725		"Cath, translumin non-laser"			N1		
C1726		"Cath, bal dil, non-vascular"			N1		
C1727		"Cath, bal tis dis, non-vas"			N1		
C1728		"Cath, brachytx seed adm"			N1		
C1729		"Cath, drainage"			N1		
C1730		"Cath, ep, 19 or few elect"			N1		
C1731		"Cath, ep, 20 or more elec"			N1		
C1732		"Cath, ep, diag/abl, 3d/vect"			N1		
C1733		"Cath, ep, othr than cool-tip"			N1		
C1734		"Orth/devic/drug bn/bn,tis/bn"			J7		
C1748		"Endoscope, single, ugi"	NC		J7		
C1749		"Endo, colon, retro imaging"			N1		
C1750		"Cath, hemodialysis,long-term"			N1		
C1751		"Cath, inf, per/cent/midline"			N1		
C1752		"Cath,hemodialysis,short-term"			N1		
C1753		"Cath, intravas ultrasound"			N1		
C1754		"Catheter, intradiscal"			N1		
C1755		"Catheter, intraspinal"			N1		
C1756		"Cath, pacing, transesoph"			N1		
C1757		"Cath, thrombectomy/embolect"			N1		
C1758		"Catheter, ureteral"			N1		
C1759		"Cath, intra echocardiography"			N1		
C1760		"Closure dev, vasc"			N1		
C1762		"Conn tiss, human(inc fascia)"			N1		
C1763		"Conn tiss, non-human"			N1		
C1764		"Event recorder, cardiac"			N1		
C1765		Adhesion barrier			N1		
C1766		"Intro/sheath,strble,non-peel"			N1		
C1767		"Generator, neuro non-recharg"			N1		
C1768		"Graft, vascular"			N1		
C1769		Guide wire			N1		
C1770		"Imaging coil, mr, insertable"			N1		
C1771		"Rep dev, urinary, w/sling"			N1		
C1772		"Infusion pump, programmable"			N1		
C1773		"Ret dev, insertable"			N1		
C1776		Joint device (implantable)			N1		
C1777		"Lead, aicd, endo single coil"			N1		
C1778		"Lead, neurostimulator"			N1		
C1779		"Lead, pmkr, transvenous vdd"			N1		
C1780		"Lens, intraocular (new tech)"			N1		
C1781		Mesh (implantable)			N1		
C1782		Morcellator			N1		
C1783		"Ocular imp, aqueous drain de"			N1		
C1784		"Ocular dev, intraop, det ret"			N1		
C1785		"Pmkr, dual, rate-resp"			N1		
C1786		"Pmkr, single, rate-resp"			N1		
C1787		"Patient progr, neurostim"			N1		
C1788		"Port, indwelling, imp"			N1		
C1789		"Prosthesis, breast, imp"			N1		
C1813		"Prosthesis, penile, inflatab"			N1		
C1814		"Retinal tamp, silicone oil"			N1		
C1815		"Pros, urinary sph, imp"			N1		
C1816		"Receiver/transmitter, neuro"			N1		
C1817		Septal defect imp sys			N1		
C1818		Integrated keratoprosthesis			N1		
C1819		Tissue localization-excision			N1		
C1820		Generator neuro rechg bat sy			N1		
C1821		Interspinous implant			N1		
C1822		"Gen, neuro, hf, rechg bat"			N1		
C1823		"Gen, neuro, trans sen/stim"			J7		
C1824		"Generator, ccm, implant"			J7		
C1825		"Gen, neuro, carot sinus baro"	NI		J7		
C1830		Power bone marrow bx needle			N1		
C1839		Iris prosthesis			J7		
C1840		Telescopic intraocular lens			N1		
C1841		Retinal prosth int/ext comp			J7		"$72,811.37"
C1842		"Retinal prosth, add-on"			J7		"$72,811.37"
C1849		"Skin substitute, synthetic"	NC		N1		
C1874		"Stent, coated/cov w/del sys"			N1		
C1875		"Stent, coated/cov w/o del sy"			N1		
C1876		"Stent, non-coa/non-cov w/del"			N1		
C1877		"Stent, non-coat/cov w/o del"			N1		
C1878		Matrl for vocal cord			N1		
C1880		Vena cava filter			N1		
C1881		Dialysis access system			N1		
C1882		"Aicd, other than sing/dual"			N1		
C1883		"Adapt/ext, pacing/neuro lead"			N1		
C1884		Embolization protect syst			N1		
C1885		"Cath, translumin angio laser"			N1		
C1886		"Catheter, ablation"			N1		
C1887		"Catheter, guiding"			N1		
C1888		Endovas non-cardiac abl cath			N1		
C1889		"Implant/insert device, noc"			N1		
C1890		No device w/dev-intensive px			J7		
C1891		"Infusion pump,non-prog, perm"			N1		
C1892		"Intro/sheath,fixed,peel-away"			N1		
C1893		"Intro/sheath, fixed,non-peel"			N1		
C1894		"Intro/sheath, non-laser"			N1		
C1895		"Lead, aicd, endo dual coil"			N1		
C1896		"Lead, aicd, non sing/dual"			N1		
C1897		"Lead, neurostim test kit"			N1		
C1898		"Lead, pmkr, other than trans"			N1		
C1899		"Lead, pmkr/aicd combination"			N1		
C1900		"Lead, coronary venous"			N1		
C1982		"Cath, pressure,valve-occlu"			J7		
C2596		"Probe, robotic, water-jet"			J7		
C2613		Lung bx plug w/del sys			N1		
C2614		"Probe, perc lumb disc"			N1		
C2615		"Sealant, pulmonary, liquid"			N1		
C2616		"Brachytx, non-str,yttrium-90"			H2		"$17,397.64"
C2617		"Stent, non-cor, tem w/o del"			N1		
C2618		"Probe/needle, cryo"			N1		
C2619		"Pmkr, dual, non rate-resp"			N1		
C2620		"Pmkr, single, non rate-resp"			N1		
C2621		"Pmkr, other than sing/dual"			N1		
C2622		"Prosthesis, penile, non-inf"			N1		
C2623		"Cath, translumin, drug-coat"			N1		
C2624		Wireless pressure sensor			N1		
C2625		"Stent, non-cor, tem w/del sy"			N1		
C2626		"Infusion pump, non-prog,temp"			N1		
C2627		"Cath, suprapubic/cystoscopic"			N1		
C2628		"Catheter, occlusion"			N1		
C2629		"Intro/sheath, laser"			N1		
C2630		"Cath, ep, cool-tip"			N1		
C2631		"Rep dev, urinary, w/o sling"			N1		
C2634		"Brachytx, non-str, ha, i-125"			H2		$148.09
C2635		"Brachytx, non-str, ha, p-103"			H2		$45.55
C2636		"Brachy linear, non-str,p-103"			H2		$31.40
C2638		"Brachytx, stranded, i-125"			H2		$37.40
C2639		"Brachytx, non-stranded,i-125"			H2		$34.10
C2640		"Brachytx, stranded, p-103"			H2		$87.75
C2641		"Brachytx, non-stranded,p-103"			H2		$69.50
C2642		"Brachytx, stranded, c-131"			H2		$71.86
C2643		"Brachytx, non-stranded,c-131"			H2		$80.35
C2644		Brachytx cesium-131 chloride			K5		
C2645		"Brachytx planar, p-103"			H2		$4.69
C2698		"Brachytx, stranded, nos"			H2		$37.40
C2699		"Brachytx, non-stranded, nos"			H2		$31.40
C8900		"Mra w/cont, abd"			Z2	3.8000	$186.02
C8901		"Mra w/o cont, abd"			Z2	2.3756	$116.29
C8902		"Mra w/o fol w/cont, abd"			Z2	3.8000	$186.02
C8903		"Mri w/cont, breast,  uni"			Z2	1.8432	$90.23
C8905		"Mri w/o fol w/cont, brst, un"			Z2	3.8000	$186.02
C8906		"Mri w/cont, breast,  bi"			Z2	3.8000	$186.02
C8908		"Mri w/o fol w/cont, breast,"			Z2	3.8000	$186.02
C8909		"Mra w/cont, chest"			Z2	3.8000	$186.02
C8910		"Mra w/o cont, chest"			Z2	2.3756	$116.29
C8911		"Mra w/o fol w/cont, chest"			Z2	3.8000	$186.02
C8912		"Mra w/cont, lwr ext"			Z2	3.8000	$186.02
C8913		"Mra w/o cont, lwr ext"			Z2	2.3756	$116.29
C8914		"Mra w/o fol w/cont, lwr ext"			Z2	3.8000	$186.02
C8918		"Mra w/cont, pelvis"			Z2	3.8000	$186.02
C8919		"Mra w/o cont, pelvis"			Z2	2.3756	$116.29
C8920		"Mra w/o fol w/cont, pelvis"			Z2	3.8000	$186.02
C8931		"Mra, w/dye, spinal canal"			Z2	3.8000	$186.02
C8932		"Mra, w/o dye, spinal canal"			Z2	2.3756	$116.29
C8933		"Mra, w/o&w/dye, spinal canal"			Z2	3.8000	$186.02
C8934		"Mra, w/dye, upper extremity"			Z2	3.8000	$186.02
C8935		"Mra, w/o dye, upper extr"			Z2	2.3756	$116.29
C8936		"Mra, w/o&w/dye, upper extr"			Z2	3.8000	$186.02
C9046		Cocaine hcl nasal solution			K2		$1.26
C9047		"Injection, caplacizumab-yhdp"			K2		$691.29
C9065		Romidepsin non-lyophilized	NI		K2		$311.84
C9067		Gallium ga-68 dotatoc	NI		K2		$8.64
C9068		"Copper cu-64, dotatate, dx"	NI		K2		$901.25
C9069		Belantamab mafodontin-blmf	NI		K2		$42.63
C9070		"Injection, tafasitamab-cxix"	NI		K2		$12.36
C9071		"Injection, viltolarsen"	NI		K2		$58.09
C9072		"Inj, imm glob asceniv"	NI		K2		$481.77
C9113		"Inj pantoprazole sodium, via"			N1		
C9122		Mometasone furoate (sinuva)	NC		K2		$10.25
C9132		"Kcentra, per i.u."			K2		$2.10
C9248		"Inj, clevidipine butyrate"	CH		K2		$2.87
C9250		Artiss fibrin sealant			K2		$156.84
C9254		"Injection, lacosamide"			N1		
C9257		Bevacizumab injection			K2		$1.88
C9285		"Patch, lidocaine/tetracaine"			N1		
C9290		"Inj, bupivacaine liposome"			K2		$1.29
C9293		"Injection, glucarpidase"	CH		K5		
C9352		"Neuragen nerve guide, per cm"			N1		
C9353		"Neurawrap nerve protector,cm"			N1		
C9354		"Veritas collagen matrix, cm2"			N1		
C9355		"Neuromatrix nerve cuff, cm"			N1		
C9356		"Tenoglide tendon prot, cm2"			N1		
C9358		"Surgimend, fetal"			N1		
C9359		"Implnt,bon void filler-putty"			N1		
C9360		"Surgimend, neonatal"			N1		
C9361		Neuromend nerve wrap			N1		
C9362		"Implnt,bon void filler-strip"			N1		
C9363		Integra meshed bil wound mat			N1		
C9364		"Porcine implant, permacol"			N1		
C9399		Unclassified drugs or biolog			K7		
C9460		"Injection, cangrelor"			K2		$15.46
C9462		"Injection, delafloxacin"		*	K2		$0.29
C9482		Sotalol hydrochloride iv			K2		$16.00
C9488		Conivaptan hcl			K2		$36.17
C9738		Blue light cysto imag agent			N1		
C9762		Cardiac mri seg dys strain	NC		Z2	4.9848	$244.02
C9763		Cardiac mri seg dys stress	NC		Z2	4.9848	$244.02
C9803		HOPD covid-19 spec collect			N1		
G0130	**	Single energy x-ray study			Z3		$25.12
G0235		Pet not otherwise specified	CH 		Z2	3.8929	$190.57
J0120		Tetracyclin injection			N1		
J0121		"Inj., omadacycline, 1 mg"			K2		$3.27
J0122		"Inj., eravacycline, 1 mg"	CH		N1		
J0129		Abatacept injection			K2		$56.87
J0130		Abciximab injection			N1		
J0131		Acetaminophen injection			N1		
J0132		Acetylcysteine injection			N1		
J0133		Acyclovir injection			N1		
J0135		Adalimumab injection			K2		"$1,430.92"
J0153		Adenosine inj 1mg			N1		
J0171		Adrenalin epinephrine inject			N1		
J0178		Aflibercept injection			K2		$921.76
J0179		"Inj, brolucizumab-dbll, 1 mg"			K2		$314.95
J0180		Agalsidase beta injection			K2		$189.29
J0185		"Inj., aprepitant, 1 mg"		*	K2		$1.59
J0190		Inj biperiden lactate/5 mg			K5		
J0200		Alatrofloxacin mesylate			K5		
J0202		"Injection, alemtuzumab"			K2		"$2,017.45"
J0205		Alglucerase injection			K5		
J0207		Amifostine			K2		"$1,135.69"
J0210		Methyldopate hcl injection	CH		K5		
J0215		Alefacept			K5		
J0220		Alglucosidase alfa injection			K2		$117.07
J0221		Lumizyme injection			K2		$174.63
J0222		"Inj., patisiran, 0.1 mg"			K2		$97.68
J0223		Inj givosiran 0.5 mg	NC		K2		$106.88
J0256		Alpha 1 proteinase inhibitor			K2		$4.52
J0257		Glassia injection			K2		$4.89
J0278		Amikacin sulfate injection			N1		
J0280		Aminophyllin 250 mg inj			N1		
J0282		Amiodarone hcl			N1		
J0285		Amphotericin b			N1		
J0287		Amphotericin b lipid complex			K2		$9.37
J0288		Ampho b cholesteryl sulfate			K5		
J0289		Amphotericin b liposome inj			K2		$27.24
J0290		Ampicillin 500 mg inj			N1		
J0291		"Inj., plazomicin, 5 mg"			K2		$3.07
J0295		Ampicillin sulbactam 1.5 gm			N1		
J0300		Amobarbital 125 mg inj			K2		$125.22
J0330		Succinycholine chloride inj			N1		
J0348		Anidulafungin injection			N1		
J0350		Injection anistreplase 30 u			K5		
J0360		Hydralazine hcl injection			N1		
J0364		Apomorphine hydrochloride			K5		
J0365		"Aprotonin, 10,000 kiu"			K5		
J0380		Inj metaraminol bitartrate			K5		
J0390		Chloroquine injection	CH		K2		$165.22
J0395		Arbutamine hcl injection			K5		
J0400		Aripiprazole injection			N1		
J0401		Inj aripiprazole ext rel 1mg			K2		$5.70
J0456		Azithromycin			N1		
J0461		Atropine sulfate injection			N1		
J0470		Dimecaprol injection			N1		
J0475		Baclofen 10 mg injection			K2		$172.78
J0476		Baclofen intrathecal trial			N1		
J0480		Basiliximab			K2		"$4,019.07"
J0485		Belatacept injection			K2		$3.79
J0490		Belimumab injection			K2		$46.84
J0500		Dicyclomine injection			N1		
J0515		Inj benztropine mesylate			N1		
J0517		"Inj., benralizumab, 1 mg"		*	K2		$171.30
J0520		Bethanechol chloride inject			K5		
J0558		Peng benzathine/procaine inj			K2		$12.01
J0561		Penicillin g benzathine inj			K2		$15.10
J0565		"Inj, bezlotoxumab, 10 mg"			K2		$39.67
J0567		"Inj., cerliponase alfa 1 mg"	CH		N1		
J0570		Buprenorphine implant 74.2mg			K2		"$1,204.99"
J0583		Bivalirudin			N1		
J0584		"Injection, burosumab-twza 1m"			K2		$361.95
J0585		"Injection,onabotulinumtoxina"			K2		$6.06
J0586		Abobotulinumtoxina			K2		$8.27
J0587		"Inj, rimabotulinumtoxinb"			K2		$11.97
J0588		Incobotulinumtoxin a			K2		$5.06
J0592		Buprenorphine hydrochloride			N1		
J0593		"Inj., lanadelumab-flyo, 1 mg"	CH		N1		
J0594		Busulfan injection			K2		$2.13
J0595		Butorphanol tartrate 1 mg			N1		
J0596		"Injection, ruconest"			K2		$28.98
J0597		"C-1 esterase, berinert"			K2		$54.33
J0598		"C-1 esterase, cinryze"			K2		$56.41
J0599		"Inj., haegarda 10 units"			K2		$9.92
J0600		Edetate calcium disodium inj			K2		"$5,594.42"
J0606		"Inj, etelcalcetide, 0.1 mg"	CH		N1		
J0610		Calcium gluconate injection			N1		
J0620		Calcium glycer & lact/10 ml			N1		
J0630		Calcitonin salmon injection			K2		"$2,830.55"
J0636		Inj calcitriol per 0.1 mcg			N1		
J0637		Caspofungin acetate			N1		
J0638		Canakinumab injection			K2		$113.26
J0640		Leucovorin calcium injection			N1		
J0641		Inj levoleucovorin nos 0.5mg			K2		$0.12
J0642		"Injection, khapzory, 0.5 mg"			K2		$1.87
J0670		Inj mepivacaine hcl/10 ml			N1		
J0690		Cefazolin sodium injection			N1		
J0691		Inj lefamulin 1 mg	NC		K2		$0.72
J0692		Cefepime hcl for injection			N1		
J0693		"Inj., cefiderocol, 5 mg"	NI		K2		$0.97
J0694		Cefoxitin sodium injection			N1		
J0695		Inj ceftolozane tazobactam			K2		$6.43
J0696		Ceftriaxone sodium injection			N1		
J0697		Sterile cefuroxime injection			N1		
J0698		Cefotaxime sodium injection			N1		
J0702		Betamethasone acet&sod phosp			N1		
J0706		Caffeine citrate injection			N1		
J0710		Cephapirin sodium injection			K5		
J0712		Ceftaroline fosamil inj			K2		$3.35
J0713		Inj ceftazidime per 500 mg			N1		
J0714		Ceftazidime and avibactam			K2		$92.28
J0715		Ceftizoxime sodium / 500 mg			N1		
J0716		Centruroides immune f(ab)			K2		"$5,063.56"
J0717		Certolizumab pegol inj 1mg			K2		$8.18
J0720		Chloramphenicol sodium injec			N1		
J0725		Chorionic gonadotropin/1000u			N1		
J0735		Clonidine hydrochloride			N1		
J0740		Cidofovir injection			K2		$590.29
J0742		Inj imip 4 cilas 4 releb 2mg	NC		K2		$2.26
J0743		Cilastatin sodium injection			N1		
J0744		Ciprofloxacin iv			N1		
J0745		Inj codeine phosphate /30 mg	CH		K2		$135.64
J0770		Colistimethate sodium inj			N1		
J0775		"Collagenase, clost hist inj"			K2		$52.62
J0780		Prochlorperazine injection			N1		
J0791		Inj crizanlizumab-tmca 5mg	NC		K2		$122.43
J0795		Corticorelin ovine triflutal			K2		$9.57
J0800		Corticotropin injection	CH		N1		
J0834		"Inj., cosyntropin, 0.25 mg"			N1		
J0840		Crotalidae poly immune fab			K2		"$2,908.21"
J0841		Inj crotalidae im f(ab')2 eq			K2		"$1,263.49"
J0850		Cytomegalovirus imm iv /vial			K2		"$1,467.02"
J0875		"Injection, dalbavancin"			K2		$15.39
J0878		Daptomycin injection	CH		N1		
J0881		"Darbepoetin alfa, non-esrd"			K2		$3.56
J0882		"Darbepoetin alfa, esrd use"			K2		$3.56
