Addendum AA -- ASC Covered Surgical Procedures for CY 2021                                                                                                      (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2020 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2020 American Dental Association.  All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting, April 2021 Payment Indicator,April 2021 Payment Weight  ,April 2021 Payment Rate 
24530,,Treat humerus fracture,Y,A2,2.1285,$104.19 
24535,,Treat humerus fracture,Y,A2,14.7803,$723.53 
24538,,Treat humerus fracture,Y,A2,59.8375,"$2,929.17 "
24545,,Treat humerus fracture,Y,J8,169.3514,"$8,290.09 "
24546,,Treat humerus fracture,Y,J8,223.6918,"$10,950.16 "
24560,,Treat humerus fracture,Y,A2,2.1285,$104.19 
24565,,Treat humerus fracture,Y,A2,14.7803,$723.53 
24566,,Treat humerus fracture,Y,A2,14.7803,$723.53 
24575,,Treat humerus fracture,Y,J8,164.8705,"$8,070.74 "
24576,,Treat humerus fracture,Y,A2,2.1285,$104.19 
24577,,Treat humerus fracture,Y,A2,14.7803,$723.53 
24579,,Treat humerus fracture,Y,J8,158.2195,"$7,745.16 "
24582,,Treat humerus fracture,Y,A2,59.8375,"$2,929.17 "
24586,,Treat elbow fracture,Y,G2,119.8265,"$5,865.75 "
24587,,Treat elbow fracture,Y,J8,181.2106,"$8,870.62 "
24600,,Treat elbow dislocation,Y,A2,2.1285,$104.19 
24605,,Treat elbow dislocation,Y,A2,14.7803,$723.53 
24615,,Treat elbow dislocation,Y,A2,59.8375,"$2,929.17 "
24620,,Treat elbow fracture,Y,A2,14.7803,$723.53 
24635,,Treat elbow fracture,Y,J8,83.0397,"$4,064.96 "
24640,,Treat elbow dislocation,Y,P3,,$59.32 
24650,,Treat radius fracture,Y,P2,2.1285,$104.19 
24655,,Treat radius fracture,Y,A2,14.7803,$723.53 
24665,,Treat radius fracture,Y,A2,59.8375,"$2,929.17 "
24666,,Treat radius fracture,Y,J8,186.3952,"$9,124.42 "
24670,,Treat ulnar fracture,Y,A2,2.1285,$104.19 
24675,,Treat ulnar fracture,Y,A2,14.7803,$723.53 
24685,,Treat ulnar fracture,Y,J8,79.2848,"$3,881.15 "
24800,,Fusion of elbow joint,Y,A2,59.8375,"$2,929.17 "
24802,,Fusion/graft of elbow joint,Y,G2,119.8265,"$5,865.75 "
24925,,Amputation follow-up surgery,Y,A2,27.1337,"$1,328.25 "
24935,,Revision of amputation,Y,G2,59.8375,"$2,929.17 "
25000,,Incision of tendon sheath,Y,A2,14.7803,$723.53 
25001,,Incise flexor carpi radialis,Y,G2,27.1337,"$1,328.25 "
25020,,Decompress forearm 1 space,Y,A2,14.7803,$723.53 
25023,,Decompress forearm 1 space,Y,A2,27.1337,"$1,328.25 "
25024,,Decompress forearm 2 spaces,Y,A2,27.1337,"$1,328.25 "
25025,,Decompress forearm 2 spaces,Y,A2,14.7803,$723.53 
25028,,Drainage of forearm lesion,Y,A2,27.1337,"$1,328.25 "
25031,,Drainage of forearm bursa,Y,A2,14.7803,$723.53 
25035,,Treat forearm bone lesion,Y,A2,59.8375,"$2,929.17 "
25040,,Explore/treat wrist joint,Y,A2,27.1337,"$1,328.25 "
25065,,Biopsy forearm soft tissues,Y,P3,,$188.07 
25066,,Biopsy forearm soft tissues,Y,A2,20.3333,$995.36 
25071,,Exc forearm les sc 3 cm/>,Y,G2,12.1379,$594.17 
25073,,Exc forearm tum deep 3 cm/>,Y,G2,20.3333,$995.36 
25075,,Exc forearm les sc < 3 cm,Y,G2,12.1379,$594.17 
25076,,Exc forearm tum deep < 3 cm,Y,G2,12.1379,$594.17 
25077,,Resect forearm/wrist tum<3cm,Y,G2,20.3333,$995.36 
25078,,Resect forarm/wrist tum 3cm>,Y,G2,20.3333,$995.36 
25085,,Incision of wrist capsule,Y,A2,27.1337,"$1,328.25 "
25100,,Biopsy of wrist joint,Y,A2,27.1337,"$1,328.25 "
25101,,Explore/treat wrist joint,Y,A2,27.1337,"$1,328.25 "
25105,,Remove wrist joint lining,Y,A2,27.1337,"$1,328.25 "
25107,,Remove wrist joint cartilage,Y,A2,27.1337,"$1,328.25 "
25109,,Excise tendon forearm/wrist,Y,G2,27.1337,"$1,328.25 "
25110,,Remove wrist tendon lesion,Y,A2,14.7803,$723.53 
25111,,Remove wrist tendon lesion,Y,A2,14.7803,$723.53 
25112,,Reremove wrist tendon lesion,Y,A2,14.7803,$723.53 
25115,,Remove wrist/forearm lesion,Y,A2,14.7803,$723.53 
25116,,Remove wrist/forearm lesion,Y,A2,27.1337,"$1,328.25 "
25118,,Excise wrist tendon sheath,Y,A2,14.7803,$723.53 
25119,,Partial removal of ulna,Y,A2,27.1337,"$1,328.25 "
25120,,Removal of forearm lesion,Y,A2,27.1337,"$1,328.25 "
25125,,Remove/graft forearm lesion,Y,A2,14.7803,$723.53 
25126,,Remove/graft forearm lesion,Y,A2,27.1337,"$1,328.25 "
25130,,Removal of wrist lesion,Y,A2,27.1337,"$1,328.25 "
25135,,Remove & graft wrist lesion,Y,A2,59.8375,"$2,929.17 "
25136,,Remove & graft wrist lesion,Y,A2,59.8375,"$2,929.17 "
25145,,Remove forearm bone lesion,Y,A2,27.1337,"$1,328.25 "
25150,,Partial removal of ulna,Y,A2,27.1337,"$1,328.25 "
25151,,Partial removal of radius,Y,A2,27.1337,"$1,328.25 "
25170,,Resect radius/ulnar tumor,Y,G2,59.8375,"$2,929.17 "
25210,,Removal of wrist bone,Y,A2,27.1337,"$1,328.25 "
25215,,Removal of wrist bones,Y,A2,27.1337,"$1,328.25 "
25230,,Partial removal of radius,Y,A2,27.1337,"$1,328.25 "
25240,,Partial removal of ulna,Y,A2,27.1337,"$1,328.25 "
25246,,Injection for wrist x-ray,N,N1,,
25248,,Remove forearm foreign body,Y,A2,14.7803,$723.53 
25250,,Removal of wrist prosthesis,N,A2,14.7803,$723.53 
25251,,Removal of wrist prosthesis,N,A2,27.1337,"$1,328.25 "
25259,,Manipulate wrist w/anesthes,Y,G2,14.7803,$723.53 
25260,,Repair forearm tendon/muscle,Y,A2,27.1337,"$1,328.25 "
25263,,Repair forearm tendon/muscle,Y,A2,59.8375,"$2,929.17 "
25265,,Repair forearm tendon/muscle,Y,A2,27.1337,"$1,328.25 "
25270,,Repair forearm tendon/muscle,Y,A2,27.1337,"$1,328.25 "
25272,,Repair forearm tendon/muscle,Y,A2,27.1337,"$1,328.25 "
25274,,Repair forearm tendon/muscle,Y,A2,27.1337,"$1,328.25 "
25275,,Repair forearm tendon sheath,Y,A2,27.1337,"$1,328.25 "
25280,,Revise wrist/forearm tendon,Y,A2,27.1337,"$1,328.25 "
25290,,Incise wrist/forearm tendon,Y,A2,27.1337,"$1,328.25 "
25295,,Release wrist/forearm tendon,Y,A2,27.1337,"$1,328.25 "
25300,,Fusion of tendons at wrist,Y,A2,27.1337,"$1,328.25 "
25301,,Fusion of tendons at wrist,Y,A2,27.1337,"$1,328.25 "
25310,,Transplant forearm tendon,Y,A2,27.1337,"$1,328.25 "
25312,,Transplant forearm tendon,Y,A2,27.1337,"$1,328.25 "
25315,,Revise palsy hand tendon(s),Y,A2,59.8375,"$2,929.17 "
25316,,Revise palsy hand tendon(s),Y,A2,59.8375,"$2,929.17 "
25320,,Repair/revise wrist joint,Y,A2,59.8375,"$2,929.17 "
25332,,Revise wrist joint,Y,A2,27.1337,"$1,328.25 "
25335,,Realignment of hand,Y,A2,27.1337,"$1,328.25 "
25337,,Reconstruct ulna/radioulnar,Y,A2,59.8375,"$2,929.17 "
25350,,Revision of radius,Y,J8,84.6037,"$4,141.52 "
25355,,Revision of radius,Y,A2,27.1337,"$1,328.25 "
25360,,Revision of ulna,Y,A2,59.8375,"$2,929.17 "
25365,,Revise radius & ulna,Y,A2,119.8265,"$5,865.75 "
25370,,Revise radius or ulna,Y,A2,27.1337,"$1,328.25 "
25375,,Revise radius & ulna,Y,A2,27.1337,"$1,328.25 "
25390,,Shorten radius or ulna,Y,J8,82.5887,"$4,042.88 "
25391,,Lengthen radius or ulna,Y,J8,171.2165,"$8,381.39 "
25392,,Shorten radius & ulna,Y,A2,59.8375,"$2,929.17 "
25393,,Lengthen radius & ulna,Y,A2,59.8375,"$2,929.17 "
25394,,Repair carpal bone shorten,Y,G2,27.1337,"$1,328.25 "
25400,,Repair radius or ulna,Y,J8,84.0062,"$4,112.27 "
25405,,Repair/graft radius or ulna,Y,J8,82.7116,"$4,048.90 "
25415,,Repair radius & ulna,Y,J8,89.0203,"$4,357.72 "
25420,,Repair/graft radius & ulna,Y,J8,85.7518,"$4,197.72 "
25425,,Repair/graft radius or ulna,Y,A2,59.8375,"$2,929.17 "
25426,,Repair/graft radius & ulna,Y,J8,36.9642,"$1,809.47 "
25430,,Vasc graft into carpal bone,Y,G2,27.1337,"$1,328.25 "
25431,,Repair nonunion carpal bone,Y,G2,59.8375,"$2,929.17 "
25440,,Repair/graft wrist bone,Y,A2,59.8375,"$2,929.17 "
25441,,Reconstruct wrist joint,Y,J8,190.9818,"$9,348.94 "
25442,,Reconstruct wrist joint,Y,J8,254.9093,"$12,478.32 "
25443,,Reconstruct wrist joint,Y,J8,89.6002,"$4,386.11 "
25444,,Reconstruct wrist joint,Y,J8,186.5478,"$9,131.89 "
25445,,Reconstruct wrist joint,Y,J8,90.2564,"$4,418.23 "
25446,,Wrist replacement,Y,J8,262.0947,"$12,830.06 "
25447,,Repair wrist joints,Y,A2,27.1337,"$1,328.25 "
25449,,Remove wrist joint implant,Y,A2,59.8375,"$2,929.17 "
25450,,Revision of wrist joint,Y,A2,27.1337,"$1,328.25 "
25455,,Revision of wrist joint,Y,A2,27.1337,"$1,328.25 "
25490,,Reinforce radius,Y,A2,59.8375,"$2,929.17 "
25491,,Reinforce ulna,Y,A2,119.8265,"$5,865.75 "
25492,,Reinforce radius and ulna,Y,A2,27.1337,"$1,328.25 "
25500,,Treat fracture of radius,Y,P2,2.1285,$104.19 
25505,,Treat fracture of radius,Y,A2,14.7803,$723.53 
25515,,Treat fracture of radius,Y,J8,80.6028,"$3,945.67 "
25520,,Treat fracture of radius,Y,A2,14.7803,$723.53 
25525,,Treat fracture of radius,Y,J8,78.9743,"$3,865.95 "
25526,,Treat fracture of radius,Y,A2,59.8375,"$2,929.17 "
25530,,Treat fracture of ulna,Y,P2,2.1285,$104.19 
25535,,Treat fracture of ulna,Y,A2,2.1285,$104.19 
25545,,Treat fracture of ulna,Y,J8,78.9392,"$3,864.23 "
25560,,Treat fracture radius & ulna,Y,P2,2.1285,$104.19 
25565,,Treat fracture radius & ulna,Y,A2,14.7803,$723.53 
25574,,Treat fracture radius & ulna,Y,J8,85.5526,"$4,187.97 "
25575,,Treat fracture radius/ulna,Y,J8,83.4613,"$4,085.60 "
25600,,Treat fracture radius/ulna,Y,P2,2.1285,$104.19 
25605,,Treat fracture radius/ulna,Y,A2,14.7803,$723.53 
25606,,Treat fx distal radial,Y,A2,27.1337,"$1,328.25 "
25607,,Treat fx rad extra-articul,Y,J8,86.0623,"$4,212.92 "
25608,,Treat fx rad intra-articul,Y,J8,85.8923,"$4,204.60 "
25609,,Treat fx radial 3+ frag,Y,J8,86.2672,"$4,222.95 "
25622,,Treat wrist bone fracture,Y,P2,2.1285,$104.19 
25624,,Treat wrist bone fracture,Y,A2,14.7803,$723.53 
25628,,Treat wrist bone fracture,Y,A2,59.8375,"$2,929.17 "
25630,,Treat wrist bone fracture,Y,P2,2.1285,$104.19 
25635,,Treat wrist bone fracture,Y,A2,14.7803,$723.53 
25645,,Treat wrist bone fracture,Y,A2,27.1337,"$1,328.25 "
25650,,Treat wrist bone fracture,Y,P2,2.1285,$104.19 
25651,,Pin ulnar styloid fracture,Y,G2,27.1337,"$1,328.25 "
25652,,Treat fracture ulnar styloid,Y,J8,77.9611,"$3,816.35 "
25660,,Treat wrist dislocation,Y,A2,2.1285,$104.19 
25670,,Treat wrist dislocation,Y,J8,93.5249,"$4,578.23 "
25671,,Pin radioulnar dislocation,Y,A2,27.1337,"$1,328.25 "
25675,,Treat wrist dislocation,Y,A2,2.1285,$104.19 
25676,,Treat wrist dislocation,Y,A2,59.8375,"$2,929.17 "
25680,,Treat wrist fracture,Y,A2,2.1285,$104.19 
25685,,Treat wrist fracture,Y,A2,59.8375,"$2,929.17 "
25690,,Treat wrist dislocation,Y,A2,14.7803,$723.53 
25695,,Treat wrist dislocation,Y,A2,59.8375,"$2,929.17 "
25800,,Fusion of wrist joint,Y,J8,82.0087,"$4,014.49 "
25805,,Fusion/graft of wrist joint,Y,J8,85.3475,"$4,177.93 "
25810,,Fusion/graft of wrist joint,Y,J8,170.067,"$8,325.12 "
25820,,Fusion of hand bones,Y,J8,82.0146,"$4,014.78 "
25825,,Fuse hand bones with graft,Y,J8,82.8992,"$4,058.08 "
25830,,Fusion radioulnar jnt/ulna,Y,A2,59.8375,"$2,929.17 "
25907,,Amputation follow-up surgery,Y,A2,27.1337,"$1,328.25 "
25909,,Amputation follow-up surgery,Y,G2,59.8375,"$2,929.17 "
25922,,Amputate hand at wrist,Y,A2,14.7803,$723.53 
25929,,Amputation follow-up surgery,Y,A2,17.7074,$866.81 
25931,,Amputation follow-up surgery,Y,G2,27.1337,"$1,328.25 "
26010,,Drainage of finger abscess,Y,P2,1.8534,$90.73 
26011,,Drainage of finger abscess,Y,A2,12.1379,$594.17 
26020,,Drain hand tendon sheath,Y,A2,27.1337,"$1,328.25 "
26025,,Drainage of palm bursa,Y,A2,27.1337,"$1,328.25 "
26030,,Drainage of palm bursas,Y,A2,27.1337,"$1,328.25 "
26034,,Treat hand bone lesion,Y,A2,14.7803,$723.53 
26035,,Decompress fingers/hand,Y,G2,27.1337,"$1,328.25 "
26037,,Decompress fingers/hand,Y,G2,27.1337,"$1,328.25 "
26040,,Release palm contracture,Y,A2,14.7803,$723.53 
26045,,Release palm contracture,Y,A2,27.1337,"$1,328.25 "
26055,,Incise finger tendon sheath,Y,A2,14.7803,$723.53 
26060,,Incision of finger tendon,Y,A2,14.7803,$723.53 
26070,,Explore/treat hand joint,Y,A2,14.7803,$723.53 
26075,,Explore/treat finger joint,Y,A2,27.1337,"$1,328.25 "
26080,,Explore/treat finger joint,Y,A2,14.7803,$723.53 
26100,,Biopsy hand joint lining,Y,A2,27.1337,"$1,328.25 "
26105,,Biopsy finger joint lining,Y,A2,27.1337,"$1,328.25 "
26110,,Biopsy finger joint lining,Y,A2,14.7803,$723.53 
26111,,Exc hand les sc 1.5 cm/>,Y,G2,12.1379,$594.17 
26113,,Exc hand tum deep 1.5 cm/>,Y,G2,12.1379,$594.17 
26115,,Exc hand les sc < 1.5 cm,Y,G2,12.1379,$594.17 
26116,,Exc hand tum deep < 1.5 cm,Y,G2,12.1379,$594.17 
26117,,Rad resect hand tumor < 3 cm,Y,G2,20.3333,$995.36 
26118,,Rad resect hand tumor 3 cm/>,Y,G2,20.3333,$995.36 
26121,,Release palm contracture,Y,A2,27.1337,"$1,328.25 "
26123,,Release palm contracture,Y,A2,27.1337,"$1,328.25 "
26125,,Release palm contracture,N,N1,,
26130,,Remove wrist joint lining,Y,A2,27.1337,"$1,328.25 "
26135,,Revise finger joint each,Y,A2,27.1337,"$1,328.25 "
26140,,Revise finger joint each,Y,A2,14.7803,$723.53 
26145,,Tendon excision palm/finger,Y,A2,14.7803,$723.53 
26160,,Remove tendon sheath lesion,Y,A2,14.7803,$723.53 
26170,,Removal of palm tendon each,Y,A2,14.7803,$723.53 
26180,,Removal of finger tendon,Y,A2,14.7803,$723.53 
26185,,Remove finger bone,Y,A2,14.7803,$723.53 
26200,,Remove hand bone lesion,Y,A2,14.7803,$723.53 
26205,,Remove/graft bone lesion,Y,A2,59.8375,"$2,929.17 "
26210,,Removal of finger lesion,Y,A2,14.7803,$723.53 
26215,,Remove/graft finger lesion,Y,A2,27.1337,"$1,328.25 "
26230,,Partial removal of hand bone,Y,A2,27.1337,"$1,328.25 "
26235,,Partial removal finger bone,Y,A2,14.7803,$723.53 
26236,,Partial removal finger bone,Y,A2,14.7803,$723.53 
26250,,Extensive hand surgery,Y,A2,27.1337,"$1,328.25 "
26260,,Resect prox finger tumor,Y,A2,27.1337,"$1,328.25 "
26262,,Resect distal finger tumor,Y,A2,14.7803,$723.53 
26320,,Removal of implant from hand,N,A2,12.1379,$594.17 
26340,,Manipulate finger w/anesth,Y,G2,14.7803,$723.53 
26341,,Manipulat palm cord post inj,Y,P3,,$79.21 
26350,,Repair finger/hand tendon,Y,A2,27.1337,"$1,328.25 "
26352,,Repair/graft hand tendon,Y,A2,59.8375,"$2,929.17 "
26356,,Repair finger/hand tendon,Y,A2,27.1337,"$1,328.25 "
26357,,Repair finger/hand tendon,Y,A2,27.1337,"$1,328.25 "
26358,,Repair/graft hand tendon,Y,A2,59.8375,"$2,929.17 "
26370,,Repair finger/hand tendon,Y,A2,27.1337,"$1,328.25 "
26372,,Repair/graft hand tendon,Y,A2,59.8375,"$2,929.17 "
26373,,Repair finger/hand tendon,Y,A2,27.1337,"$1,328.25 "
26390,,Revise hand/finger tendon,Y,J8,79.9877,"$3,915.56 "
26392,,Repair/graft hand tendon,Y,A2,59.8375,"$2,929.17 "
26410,,Repair hand tendon,Y,A2,14.7803,$723.53 
26412,,Repair/graft hand tendon,Y,A2,27.1337,"$1,328.25 "
26415,,Excision hand/finger tendon,Y,A2,27.1337,"$1,328.25 "
26416,,Graft hand or finger tendon,Y,A2,27.1337,"$1,328.25 "
26418,,Repair finger tendon,Y,A2,14.7803,$723.53 
26420,,Repair/graft finger tendon,Y,A2,27.1337,"$1,328.25 "
26426,,Repair finger/hand tendon,Y,A2,27.1337,"$1,328.25 "
26428,,Repair/graft finger tendon,Y,A2,27.1337,"$1,328.25 "
26432,,Repair finger tendon,Y,A2,14.7803,$723.53 
26433,,Repair finger tendon,Y,A2,27.1337,"$1,328.25 "
26434,,Repair/graft finger tendon,Y,A2,27.1337,"$1,328.25 "
26437,,Realignment of tendons,Y,A2,27.1337,"$1,328.25 "
26440,,Release palm/finger tendon,Y,A2,14.7803,$723.53 
26442,,Release palm & finger tendon,Y,A2,27.1337,"$1,328.25 "
26445,,Release hand/finger tendon,Y,A2,27.1337,"$1,328.25 "
26449,,Release forearm/hand tendon,Y,A2,27.1337,"$1,328.25 "
26450,,Incision of palm tendon,Y,A2,27.1337,"$1,328.25 "
26455,,Incision of finger tendon,Y,A2,14.7803,$723.53 
26460,,Incise hand/finger tendon,Y,A2,14.7803,$723.53 
26471,,Fusion of finger tendons,Y,A2,27.1337,"$1,328.25 "
26474,,Fusion of finger tendons,Y,A2,14.7803,$723.53 
26476,,Tendon lengthening,Y,A2,27.1337,"$1,328.25 "
26477,,Tendon shortening,Y,A2,27.1337,"$1,328.25 "
26478,,Lengthening of hand tendon,Y,A2,27.1337,"$1,328.25 "
26479,,Shortening of hand tendon,Y,A2,27.1337,"$1,328.25 "
26480,,Transplant hand tendon,Y,A2,27.1337,"$1,328.25 "
26483,,Transplant/graft hand tendon,Y,A2,27.1337,"$1,328.25 "
26485,,Transplant palm tendon,Y,A2,27.1337,"$1,328.25 "
26489,,Transplant/graft palm tendon,Y,A2,27.1337,"$1,328.25 "
26490,,Revise thumb tendon,Y,A2,27.1337,"$1,328.25 "
26492,,Tendon transfer with graft,Y,A2,27.1337,"$1,328.25 "
26494,,Hand tendon/muscle transfer,Y,A2,27.1337,"$1,328.25 "
26496,,Revise thumb tendon,Y,A2,27.1337,"$1,328.25 "
26497,,Finger tendon transfer,Y,A2,27.1337,"$1,328.25 "
26498,,Finger tendon transfer,Y,A2,27.1337,"$1,328.25 "
26499,,Revision of finger,Y,A2,27.1337,"$1,328.25 "
26500,,Hand tendon reconstruction,Y,A2,59.8375,"$2,929.17 "
26502,,Hand tendon reconstruction,Y,A2,27.1337,"$1,328.25 "
26508,,Release thumb contracture,Y,A2,27.1337,"$1,328.25 "
26510,,Thumb tendon transfer,Y,A2,27.1337,"$1,328.25 "
26516,,Fusion of knuckle joint,Y,A2,27.1337,"$1,328.25 "
26517,,Fusion of knuckle joints,Y,A2,27.1337,"$1,328.25 "
26518,,Fusion of knuckle joints,Y,A2,59.8375,"$2,929.17 "
26520,,Release knuckle contracture,Y,A2,27.1337,"$1,328.25 "
26525,,Release finger contracture,Y,A2,14.7803,$723.53 
26530,,Revise knuckle joint,Y,J8,78.8632,"$3,860.51 "
26531,,Revise knuckle with implant,Y,J8,87.4739,"$4,282.02 "
26535,,Revise finger joint,Y,A2,27.1337,"$1,328.25 "
26536,,Revise/implant finger joint,Y,J8,82.2722,"$4,027.39 "
26540,,Repair hand joint,Y,A2,27.1337,"$1,328.25 "
26541,,Repair hand joint with graft,Y,A2,27.1337,"$1,328.25 "
26542,,Repair hand joint with graft,Y,A2,27.1337,"$1,328.25 "
26545,,Reconstruct finger joint,Y,A2,27.1337,"$1,328.25 "
26546,,Repair nonunion hand,Y,A2,59.8375,"$2,929.17 "
26548,,Reconstruct finger joint,Y,A2,27.1337,"$1,328.25 "
26550,,Construct thumb replacement,Y,A2,27.1337,"$1,328.25 "
26555,,Positional change of finger,Y,A2,59.8375,"$2,929.17 "
26560,,Repair of web finger,Y,A2,14.7803,$723.53 
26561,,Repair of web finger,Y,A2,27.1337,"$1,328.25 "
26562,,Repair of web finger,Y,A2,27.1337,"$1,328.25 "
26565,,Correct metacarpal flaw,Y,A2,27.1337,"$1,328.25 "
26567,,Correct finger deformity,Y,A2,27.1337,"$1,328.25 "
26568,,Lengthen metacarpal/finger,Y,A2,59.8375,"$2,929.17 "
26580,,Repair hand deformity,Y,A2,27.1337,"$1,328.25 "
26587,,Reconstruct extra finger,Y,A2,27.1337,"$1,328.25 "
26590,,Repair finger deformity,Y,A2,14.7803,$723.53 
26591,,Repair muscles of hand,Y,A2,27.1337,"$1,328.25 "
26593,,Release muscles of hand,Y,A2,27.1337,"$1,328.25 "
26596,,Excision constricting tissue,Y,A2,27.1337,"$1,328.25 "
26600,,Treat metacarpal fracture,Y,P2,2.1285,$104.19 
26605,,Treat metacarpal fracture,Y,A2,2.1285,$104.19 
26607,,Treat metacarpal fracture,Y,A2,27.1337,"$1,328.25 "
26608,,Treat metacarpal fracture,Y,A2,27.1337,"$1,328.25 "
26615,,Treat metacarpal fracture,Y,A2,27.1337,"$1,328.25 "
26641,,Treat thumb dislocation,Y,P2,2.1285,$104.19 
26645,,Treat thumb fracture,Y,A2,14.7803,$723.53 
26650,,Treat thumb fracture,Y,A2,27.1337,"$1,328.25 "
26665,,Treat thumb fracture,Y,A2,27.1337,"$1,328.25 "
26670,,Treat hand dislocation,Y,P2,2.1285,$104.19 
26675,,Treat hand dislocation,Y,A2,14.7803,$723.53 
26676,,Pin hand dislocation,Y,A2,27.1337,"$1,328.25 "
26685,,Treat hand dislocation,Y,A2,27.1337,"$1,328.25 "
26686,,Treat hand dislocation,Y,A2,27.1337,"$1,328.25 "
26700,,Treat knuckle dislocation,Y,P2,2.1285,$104.19 
26705,,Treat knuckle dislocation,Y,A2,14.7803,$723.53 
26706,,Pin knuckle dislocation,Y,A2,27.1337,"$1,328.25 "
26715,,Treat knuckle dislocation,Y,A2,27.1337,"$1,328.25 "
26720,,Treat finger fracture each,Y,P2,2.1285,$104.19 
26725,,Treat finger fracture each,Y,P2,2.1285,$104.19 
26727,,Treat finger fracture each,Y,A2,27.1337,"$1,328.25 "
26735,,Treat finger fracture each,Y,A2,27.1337,"$1,328.25 "
26740,,Treat finger fracture each,Y,P2,2.1285,$104.19 
26742,,Treat finger fracture each,Y,A2,14.7803,$723.53 
26746,,Treat finger fracture each,Y,A2,27.1337,"$1,328.25 "
26750,,Treat finger fracture each,Y,P2,2.1285,$104.19 
26755,,Treat finger fracture each,Y,G2,2.1285,$104.19 
26756,,Pin finger fracture each,Y,A2,27.1337,"$1,328.25 "
26765,,Treat finger fracture each,Y,A2,27.1337,"$1,328.25 "
26770,,Treat finger dislocation,Y,G2,2.1285,$104.19 
26775,,Treat finger dislocation,Y,P2,2.4896,$121.87 
26776,,Pin finger dislocation,Y,A2,27.1337,"$1,328.25 "
26785,,Treat finger dislocation,Y,A2,27.1337,"$1,328.25 "
26820,,Thumb fusion with graft,Y,J8,83.6722,"$4,095.92 "
26841,,Fusion of thumb,Y,A2,59.8375,"$2,929.17 "
26842,,Thumb fusion with graft,Y,A2,59.8375,"$2,929.17 "
26843,,Fusion of hand joint,Y,J8,81.2296,"$3,976.35 "
26844,,Fusion/graft of hand joint,Y,J8,93.2262,"$4,563.61 "
26850,,Fusion of knuckle,Y,A2,59.8375,"$2,929.17 "
26852,,Fusion of knuckle with graft,Y,A2,59.8375,"$2,929.17 "
26860,,Fusion of finger joint,Y,A2,27.1337,"$1,328.25 "
26861,,Fusion of finger jnt add-on,N,N1,,
26862,,Fusion/graft of finger joint,Y,A2,27.1337,"$1,328.25 "
26863,,Fuse/graft added joint,N,N1,,
26910,,Amputate metacarpal bone,Y,A2,27.1337,"$1,328.25 "
26951,,Amputation of finger/thumb,Y,A2,27.1337,"$1,328.25 "
26952,,Amputation of finger/thumb,Y,A2,27.1337,"$1,328.25 "
26990,,Drainage of pelvis lesion,Y,A2,27.1337,"$1,328.25 "
26991,,Drainage of pelvis bursa,Y,A2,14.7803,$723.53 
27000,,Incision of hip tendon,Y,A2,14.7803,$723.53 
27001,,Incision of hip tendon,Y,A2,27.1337,"$1,328.25 "
27003,,Incision of hip tendon,Y,A2,59.8375,"$2,929.17 "
27006,,Incision of hip tendons,Y,G2,27.1337,"$1,328.25 "
27027,,Buttock fasciotomy,Y,G2,59.8375,"$2,929.17 "
27033,,Exploration of hip joint,Y,A2,59.8375,"$2,929.17 "
27035,,Denervation of hip joint,Y,A2,27.1337,"$1,328.25 "
27040,,Biopsy of soft tissues,Y,A2,12.1379,$594.17 
27041,,Biopsy of soft tissues,Y,A2,12.1379,$594.17 
27043,,Exc hip pelvis les sc 3 cm/>,Y,G2,20.3333,$995.36 
27045,,Exc hip/pelv tum deep 5 cm/>,Y,G2,20.3333,$995.36 
27047,,Exc hip/pelvis les sc < 3 cm,Y,G2,20.3333,$995.36 
27048,,Exc hip/pelv tum deep < 5 cm,Y,G2,20.3333,$995.36 
27049,,Resect hip/pelv tum < 5 cm,Y,G2,20.3333,$995.36 
27050,,Biopsy of sacroiliac joint,Y,A2,14.7803,$723.53 
27052,,Biopsy of hip joint,Y,A2,14.7803,$723.53 
27057,,Buttock fasciotomy w/dbrdmt,Y,G2,14.7803,$723.53 
27059,,Resect hip/pelv tum 5 cm/>,Y,G2,20.3333,$995.36 
27060,,Removal of ischial bursa,Y,A2,59.8375,"$2,929.17 "
27062,,Remove femur lesion/bursa,Y,A2,27.1337,"$1,328.25 "
27065,,Remove hip bone les super,Y,A2,59.8375,"$2,929.17 "
27066,,Remove hip bone les deep,Y,A2,27.1337,"$1,328.25 "
27067,,Remove/graft hip bone lesion,Y,A2,59.8375,"$2,929.17 "
27080,,Removal of tail bone,Y,A2,27.1337,"$1,328.25 "
27086,,Remove hip foreign body,Y,A2,20.3333,$995.36 
27087,,Remove hip foreign body,Y,A2,27.1337,"$1,328.25 "
27093,,Injection for hip x-ray,N,N1,,
27095,,Injection for hip x-ray,N,N1,,
27097,,Revision of hip tendon,Y,A2,27.1337,"$1,328.25 "
27098,,Transfer tendon to pelvis,Y,A2,27.1337,"$1,328.25 "
27100,,Transfer of abdominal muscle,Y,A2,59.8375,"$2,929.17 "
27105,,Transfer of spinal muscle,Y,A2,27.1337,"$1,328.25 "
27110,,Transfer of iliopsoas muscle,Y,J8,88.4579,"$4,330.19 "
27111,,Transfer of iliopsoas muscle,Y,A2,27.1337,"$1,328.25 "
