Addendum AA -- ASC Covered Surgical Procedures for CY 2023                                                                                                                                (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2022 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2022 American Dental Association.  All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting,July 2023  Payment Indicator,July 2023  Payment Weight  ,July 2023 Payment Rate 
24343,,Repr elbow lat ligmnt w/tiss,Y,G2,27.2829,"$1,414.73 "
24344,,Reconstruct elbow lat ligmnt,Y,J8,77.7817,"$4,033.29 "
24345,,Repr elbw med ligmnt w/tissu,Y,A2,60.5101,"$3,137.69 "
24346,,Reconstruct elbow med ligmnt,Y,G2,124.0744,"$6,433.75 "
24357,,Repair elbow perc,Y,G2,27.2829,"$1,414.73 "
24358,,Repair elbow w/deb open,Y,G2,27.2829,"$1,414.73 "
24359,,Repair elbow deb/attch open,Y,G2,27.2829,"$1,414.73 "
24360,,Reconstruct elbow joint,Y,J8,89.0751,"$4,618.90 "
24361,,Reconstruct elbow joint,Y,J8,302.5859,"$15,690.29 "
24362,,Reconstruct elbow joint,Y,J8,177.3909,"$9,198.43 "
24363,,Replace elbow joint,Y,J8,310.3207,"$16,091.37 "
24365,,Reconstruct head of radius,Y,J8,189.7061,"$9,837.02 "
24366,,Reconstruct head of radius,Y,J8,187.4442,"$9,719.73 "
24370,,Revise reconst elbow joint,Y,J8,174.3520,"$9,040.85 "
24371,,Revise reconst elbow joint,Y,J8,283.4053,"$14,695.70 "
24400,,Revision of humerus,Y,J8,77.7817,"$4,033.29 "
24410,,Revision of humerus,Y,G2,124.0744,"$6,433.75 "
24420,,Revision of humerus,Y,J8,77.7817,"$4,033.29 "
24430,,Repair of humerus,Y,J8,170.6277,"$8,847.73 "
24435,,Repair humerus with graft,Y,J8,174.3406,"$9,040.26 "
24470,,Revision of elbow joint,Y,A2,27.2829,"$1,414.73 "
24495,,Decompression of forearm,Y,A2,60.5101,"$3,137.69 "
24498,,Reinforce humerus,Y,J8,165.1327,"$8,562.79 "
24500,,Treat humerus fracture,Y,A2,2.0785,$107.78 
24505,,Treat humerus fracture,Y,A2,14.4363,$748.58 
24515,,Treat humerus fracture,Y,J8,166.5036,"$8,633.88 "
24516,,Treat humerus fracture,Y,J8,169.2911,"$8,778.42 "
24530,,Treat humerus fracture,Y,A2,2.0785,$107.78 
24535,,Treat humerus fracture,Y,A2,14.4363,$748.58 
24538,,Treat humerus fracture,Y,A2,60.5101,"$3,137.69 "
24545,,Treat humerus fracture,Y,J8,176.0429,"$9,128.53 "
24546,,Treat humerus fracture,Y,J8,180.9895,"$9,385.03 "
24560,,Treat humerus fracture,Y,A2,2.0785,$107.78 
24565,,Treat humerus fracture,Y,A2,14.4363,$748.58 
24566,,Treat humerus fracture,Y,A2,14.4363,$748.58 
24575,,Treat humerus fracture,Y,J8,167.7716,"$8,699.63 "
24576,,Treat humerus fracture,Y,A2,2.0785,$107.78 
24577,,Treat humerus fracture,Y,A2,14.4363,$748.58 
24579,,Treat humerus fracture,Y,J8,166.4352,"$8,630.33 "
24582,,Treat humerus fracture,Y,A2,60.5101,"$3,137.69 "
24586,,Treat elbow fracture,Y,J8,173.6209,"$9,002.94 "
24587,,Treat elbow fracture,Y,J8,179.3443,"$9,299.72 "
24600,,Treat elbow dislocation,Y,A2,2.0785,$107.78 
24605,,Treat elbow dislocation,Y,A2,14.4363,$748.58 
24615,,Treat elbow dislocation,Y,J8,77.9934,"$4,044.27 "
24620,,Treat elbow fracture,Y,A2,14.4363,$748.58 
24635,,Treat elbow fracture,Y,J8,83.7989,"$4,345.31 "
24640,,Treat elbow dislocation,Y,P3,,$60.32 
24650,,Treat radius fracture,Y,P2,2.0785,$107.78 
24655,,Treat radius fracture,Y,A2,14.4363,$748.58 
24665,,Treat radius fracture,Y,A2,60.5101,"$3,137.69 "
24666,,Treat radius fracture,Y,J8,191.0427,"$9,906.33 "
24670,,Treat ulnar fracture,Y,A2,2.0785,$107.78 
24675,,Treat ulnar fracture,Y,A2,14.4363,$748.58 
24685,,Treat ulnar fracture,Y,J8,79.3584,"$4,115.05 "
24800,,Fusion of elbow joint,Y,A2,60.5101,"$3,137.69 "
24802,,Fusion/graft of elbow joint,Y,G2,124.0744,"$6,433.75 "
24925,,Amputation follow-up surgery,Y,A2,27.2829,"$1,414.73 "
25000,,Incision of tendon sheath,Y,A2,14.4363,$748.58 
25001,,Incise flexor carpi radialis,Y,G2,27.2829,"$1,414.73 "
25020,,Decompress forearm 1 space,Y,A2,14.4363,$748.58 
25023,,Decompress forearm 1 space,Y,A2,27.2829,"$1,414.73 "
25024,,Decompress forearm 2 spaces,Y,A2,27.2829,"$1,414.73 "
25025,,Decompress forearm 2 spaces,Y,A2,14.4363,$748.58 
25028,,Drainage of forearm lesion,Y,A2,27.2829,"$1,414.73 "
25031,,Drainage of forearm bursa,Y,A2,14.4363,$748.58 
25035,,Treat forearm bone lesion,Y,A2,60.5101,"$3,137.69 "
25040,,Explore/treat wrist joint,Y,A2,27.2829,"$1,414.73 "
25065,,Biopsy forearm soft tissues,Y,P3,,$181.97 
25066,,Biopsy forearm soft tissues,Y,A2,20.6808,"$1,072.38 "
25071,,Exc forearm les sc 3 cm/>,Y,G2,12.2852,$637.04 
25073,,Exc forearm tum deep 3 cm/>,Y,G2,20.6808,"$1,072.38 "
25075,,Exc forearm les sc < 3 cm,Y,G2,12.2852,$637.04 
25076,,Exc forearm tum deep < 3 cm,Y,G2,12.2852,$637.04 
25077,,Resect forearm/wrist tum<3cm,Y,G2,20.6808,"$1,072.38 "
25078,,Resect forarm/wrist tum 3cm>,Y,G2,20.6808,"$1,072.38 "
25085,,Incision of wrist capsule,Y,A2,27.2829,"$1,414.73 "
25100,,Biopsy of wrist joint,Y,A2,27.2829,"$1,414.73 "
25101,,Explore/treat wrist joint,Y,A2,27.2829,"$1,414.73 "
25105,,Remove wrist joint lining,Y,A2,27.2829,"$1,414.73 "
25107,,Remove wrist joint cartilage,Y,A2,27.2829,"$1,414.73 "
25109,,Excise tendon forearm/wrist,Y,G2,27.2829,"$1,414.73 "
25110,,Remove wrist tendon lesion,Y,A2,14.4363,$748.58 
25111,,Remove wrist tendon lesion,Y,A2,14.4363,$748.58 
25112,,Reremove wrist tendon lesion,Y,A2,14.4363,$748.58 
25115,,Remove wrist/forearm lesion,Y,A2,14.4363,$748.58 
25116,,Remove wrist/forearm lesion,Y,A2,27.2829,"$1,414.73 "
25118,,Excise wrist tendon sheath,Y,A2,14.4363,$748.58 
25119,,Partial removal of ulna,Y,A2,27.2829,"$1,414.73 "
25120,,Removal of forearm lesion,Y,A2,27.2829,"$1,414.73 "
25125,,Remove/graft forearm lesion,Y,A2,14.4363,$748.58 
25126,,Remove/graft forearm lesion,Y,J8,35.0702,"$1,818.53 "
25130,,Removal of wrist lesion,Y,A2,27.2829,"$1,414.73 "
25135,,Remove & graft wrist lesion,Y,A2,60.5101,"$3,137.69 "
25136,,Remove & graft wrist lesion,Y,A2,60.5101,"$3,137.69 "
25145,,Remove forearm bone lesion,Y,A2,27.2829,"$1,414.73 "
25150,,Partial removal of ulna,Y,A2,27.2829,"$1,414.73 "
25151,,Partial removal of radius,Y,A2,27.2829,"$1,414.73 "
25210,,Removal of wrist bone,Y,A2,27.2829,"$1,414.73 "
25215,,Removal of wrist bones,Y,A2,27.2829,"$1,414.73 "
25230,,Partial removal of radius,Y,A2,27.2829,"$1,414.73 "
25240,,Partial removal of ulna,Y,A2,27.2829,"$1,414.73 "
25246,,Injection for wrist x-ray,N,N1,,
25248,,Remove forearm foreign body,Y,A2,14.4363,$748.58 
25250,,Removal of wrist prosthesis,N,A2,14.4363,$748.58 
25251,,Removal of wrist prosthesis,N,A2,27.2829,"$1,414.73 "
25259,,Manipulate wrist w/anesthes,Y,G2,14.4363,$748.58 
25260,,Repair forearm tendon/muscle,Y,A2,27.2829,"$1,414.73 "
25263,,Repair forearm tendon/muscle,Y,A2,60.5101,"$3,137.69 "
25265,,Repair forearm tendon/muscle,Y,A2,27.2829,"$1,414.73 "
25270,,Repair forearm tendon/muscle,Y,A2,27.2829,"$1,414.73 "
25272,,Repair forearm tendon/muscle,Y,A2,27.2829,"$1,414.73 "
25274,,Repair forearm tendon/muscle,Y,A2,27.2829,"$1,414.73 "
25275,,Repair forearm tendon sheath,Y,A2,27.2829,"$1,414.73 "
25280,,Revise wrist/forearm tendon,Y,A2,27.2829,"$1,414.73 "
25290,,Incise wrist/forearm tendon,Y,A2,27.2829,"$1,414.73 "
25295,,Release wrist/forearm tendon,Y,A2,27.2829,"$1,414.73 "
25300,,Fusion of tendons at wrist,Y,A2,27.2829,"$1,414.73 "
25301,,Fusion of tendons at wrist,Y,A2,27.2829,"$1,414.73 "
25310,,Transplant forearm tendon,Y,A2,27.2829,"$1,414.73 "
25312,,Transplant forearm tendon,Y,A2,27.2829,"$1,414.73 "
25315,,Revise palsy hand tendon(s),Y,A2,60.5101,"$3,137.69 "
25316,,Revise palsy hand tendon(s),Y,A2,60.5101,"$3,137.69 "
25320,,Repair/revise wrist joint,Y,A2,60.5101,"$3,137.69 "
25332,,Revise wrist joint,Y,J8,36.1706,"$1,875.59 "
25335,,Realignment of hand,Y,A2,27.2829,"$1,414.73 "
25337,,Reconstruct ulna/radioulnar,Y,A2,60.5101,"$3,137.69 "
25350,,Revision of radius,Y,J8,85.5483,"$4,436.02 "
25355,,Revision of radius,Y,A2,27.2829,"$1,414.73 "
25360,,Revision of ulna,Y,A2,60.5101,"$3,137.69 "
25365,,Revise radius & ulna,Y,A2,124.0744,"$6,433.75 "
25370,,Revise radius or ulna,Y,A2,27.2829,"$1,414.73 "
25375,,Revise radius & ulna,Y,A2,27.2829,"$1,414.73 "
25390,,Shorten radius or ulna,Y,J8,82.1609,"$4,260.37 "
25391,,Lengthen radius or ulna,Y,J8,185.7876,"$9,633.83 "
25392,,Shorten radius & ulna,Y,A2,60.5101,"$3,137.69 "
25393,,Lengthen radius & ulna,Y,J8,78.5673,"$4,074.03 "
25394,,Repair carpal bone shorten,Y,G2,27.2829,"$1,414.73 "
25400,,Repair radius or ulna,Y,J8,84.2055,"$4,366.39 "
25405,,Repair/graft radius or ulna,Y,J8,83.2250,"$4,315.55 "
25415,,Repair radius & ulna,Y,J8,81.9993,"$4,251.99 "
25420,,Repair/graft radius & ulna,Y,J8,77.6870,"$4,028.38 "
25425,,Repair/graft radius or ulna,Y,A2,60.5101,"$3,137.69 "
25426,,Repair/graft radius & ulna,Y,J8,36.5800,"$1,896.82 "
25430,,Vasc graft into carpal bone,Y,G2,27.2829,"$1,414.73 "
25431,,Repair nonunion carpal bone,Y,G2,60.5101,"$3,137.69 "
25440,,Repair/graft wrist bone,Y,A2,60.5101,"$3,137.69 "
25441,,Reconstruct wrist joint,Y,J8,193.3733,"$10,027.18 "
25442,,Reconstruct wrist joint,Y,J8,314.5647,"$16,311.44 "
25443,,Reconstruct wrist joint,Y,J8,88.8188,"$4,605.61 "
25444,,Reconstruct wrist joint,Y,J8,198.0229,"$10,268.28 "
25445,,Reconstruct wrist joint,Y,J8,88.4900,"$4,588.56 "
25446,,Wrist replacement,Y,J8,320.0029,"$16,593.43 "
25447,,Repair wrist joints,Y,A2,27.2829,"$1,414.73 "
25449,,Remove wrist joint implant,Y,A2,60.5101,"$3,137.69 "
25450,,Revision of wrist joint,Y,A2,27.2829,"$1,414.73 "
25455,,Revision of wrist joint,Y,A2,27.2829,"$1,414.73 "
25490,,Reinforce radius,Y,A2,60.5101,"$3,137.69 "
25491,,Reinforce ulna,Y,A2,124.0744,"$6,433.75 "
25492,,Reinforce radius and ulna,Y,A2,27.2829,"$1,414.73 "
25500,,Treat fracture of radius,Y,P2,2.0785,$107.78 
25505,,Treat fracture of radius,Y,A2,14.4363,$748.58 
25515,,Treat fracture of radius,Y,J8,80.2387,"$4,160.70 "
25520,,Treat fracture of radius,Y,A2,14.4363,$748.58 
25525,,Treat fracture of radius,Y,J8,77.5923,"$4,023.47 "
25526,,Treat fracture of radius,Y,J8,79.5755,"$4,126.31 "
25530,,Treat fracture of ulna,Y,P2,2.0785,$107.78 
25535,,Treat fracture of ulna,Y,A2,2.0785,$107.78 
25545,,Treat fracture of ulna,Y,J8,79.5645,"$4,125.74 "
25560,,Treat fracture radius & ulna,Y,P2,2.0785,$107.78 
25565,,Treat fracture radius & ulna,Y,A2,14.4363,$748.58 
25574,,Treat fracture radius & ulna,Y,J8,81.6707,"$4,234.95 "
25575,,Treat fracture radius/ulna,Y,J8,82.5620,"$4,281.17 "
25600,,Treat fracture radius/ulna,Y,P2,2.0785,$107.78 
25605,,Treat fracture radius/ulna,Y,A2,14.4363,$748.58 
25606,,Treat fx distal radial,Y,A2,27.2829,"$1,414.73 "
25607,,Treat fx rad extra-articul,Y,J8,84.9688,"$4,405.97 "
25608,,Treat fx rad intra-articul,Y,J8,85.0636,"$4,410.89 "
25609,,Treat fx radial 3+ frag,Y,J8,85.1861,"$4,417.24 "
25622,,Treat wrist bone fracture,Y,P2,2.0785,$107.78 
25624,,Treat wrist bone fracture,Y,A2,14.4363,$748.58 
25628,,Treat wrist bone fracture,Y,A2,60.5101,"$3,137.69 "
25630,,Treat wrist bone fracture,Y,P2,2.0785,$107.78 
25635,,Treat wrist bone fracture,Y,A2,14.4363,$748.58 
25645,,Treat wrist bone fracture,Y,A2,27.2829,"$1,414.73 "
25650,,Treat wrist bone fracture,Y,P2,2.0785,$107.78 
25651,,Pin ulnar styloid fracture,Y,G2,27.2829,"$1,414.73 "
25652,,Treat fracture ulnar styloid,Y,J8,83.1135,"$4,309.77 "
25660,,Treat wrist dislocation,Y,A2,2.0785,$107.78 
25670,,Treat wrist dislocation,Y,A2,60.5101,"$3,137.69 "
25671,,Pin radioulnar dislocation,Y,A2,27.2829,"$1,414.73 "
25675,,Treat wrist dislocation,Y,A2,2.0785,$107.78 
25676,,Treat wrist dislocation,Y,A2,60.5101,"$3,137.69 "
25680,,Treat wrist fracture,Y,A2,2.0785,$107.78 
25685,,Treat wrist fracture,Y,A2,60.5101,"$3,137.69 "
25690,,Treat wrist dislocation,Y,A2,14.4363,$748.58 
25695,,Treat wrist dislocation,Y,A2,60.5101,"$3,137.69 "
25800,,Fusion of wrist joint,Y,J8,86.3116,"$4,475.60 "
25805,,Fusion/graft of wrist joint,Y,J8,78.0491,"$4,047.16 "
25810,,Fusion/graft of wrist joint,Y,J8,171.1189,"$8,873.20 "
25820,,Fusion of hand bones,Y,J8,86.9802,"$4,510.27 "
25825,,Fuse hand bones with graft,Y,J8,82.4505,"$4,275.39 "
25830,,Fusion radioulnar jnt/ulna,Y,A2,60.5101,"$3,137.69 "
25907,,Amputation follow-up surgery,Y,A2,27.2829,"$1,414.73 "
25922,,Amputate hand at wrist,Y,A2,14.4363,$748.58 
25929,,Amputation follow-up surgery,Y,A2,17.3282,$898.54 
25931,,Amputation follow-up surgery,Y,G2,27.2829,"$1,414.73 "
26010,,Drainage of finger abscess,Y,P2,1.8131,$94.02 
26011,,Drainage of finger abscess,Y,A2,12.2852,$637.04 
26020,,Drain hand tendon sheath,Y,A2,27.2829,"$1,414.73 "
26025,,Drainage of palm bursa,Y,A2,27.2829,"$1,414.73 "
26030,,Drainage of palm bursas,Y,A2,27.2829,"$1,414.73 "
26034,,Treat hand bone lesion,Y,A2,14.4363,$748.58 
26035,,Decompress fingers/hand,Y,G2,27.2829,"$1,414.73 "
26037,,Decompress fingers/hand,Y,G2,27.2829,"$1,414.73 "
26040,,Release palm contracture,Y,A2,14.4363,$748.58 
26045,,Release palm contracture,Y,A2,27.2829,"$1,414.73 "
26055,,Incise finger tendon sheath,Y,A2,14.4363,$748.58 
26060,,Incision of finger tendon,Y,A2,14.4363,$748.58 
26070,,Explore/treat hand joint,Y,A2,14.4363,$748.58 
26075,,Explore/treat finger joint,Y,A2,27.2829,"$1,414.73 "
26080,,Explore/treat finger joint,Y,A2,14.4363,$748.58 
26100,,Biopsy hand joint lining,Y,A2,27.2829,"$1,414.73 "
26105,,Biopsy finger joint lining,Y,A2,27.2829,"$1,414.73 "
26110,,Biopsy finger joint lining,Y,A2,14.4363,$748.58 
26111,,Exc hand les sc 1.5 cm/>,Y,G2,12.2852,$637.04 
26113,,Exc hand tum deep 1.5 cm/>,Y,G2,12.2852,$637.04 
26115,,Exc hand les sc < 1.5 cm,Y,G2,12.2852,$637.04 
26116,,Exc hand tum deep < 1.5 cm,Y,G2,12.2852,$637.04 
26117,,Rad resect hand tumor < 3 cm,Y,G2,20.6808,"$1,072.38 "
26118,,Rad resect hand tumor 3 cm/>,Y,G2,20.6808,"$1,072.38 "
26121,,Release palm contracture,Y,A2,27.2829,"$1,414.73 "
26123,,Release palm contracture,Y,A2,27.2829,"$1,414.73 "
26125,,Release palm contracture,N,N1,,
26130,,Remove wrist joint lining,Y,A2,27.2829,"$1,414.73 "
26135,,Revise finger joint each,Y,A2,27.2829,"$1,414.73 "
26140,,Revise finger joint each,Y,A2,14.4363,$748.58 
26145,,Tendon excision palm/finger,Y,A2,14.4363,$748.58 
26160,,Remove tendon sheath lesion,Y,A2,14.4363,$748.58 
26170,,Removal of palm tendon each,Y,A2,14.4363,$748.58 
26180,,Removal of finger tendon,Y,A2,14.4363,$748.58 
26185,,Remove finger bone,Y,A2,14.4363,$748.58 
26200,,Remove hand bone lesion,Y,A2,14.4363,$748.58 
26205,,Remove/graft bone lesion,Y,A2,60.5101,"$3,137.69 "
26210,,Removal of finger lesion,Y,A2,14.4363,$748.58 
26215,,Remove/graft finger lesion,Y,A2,27.2829,"$1,414.73 "
26230,,Partial removal of hand bone,Y,A2,27.2829,"$1,414.73 "
26235,,Partial removal finger bone,Y,A2,14.4363,$748.58 
26236,,Partial removal finger bone,Y,A2,14.4363,$748.58 
26250,,Extensive hand surgery,Y,A2,27.2829,"$1,414.73 "
26260,,Resect prox finger tumor,Y,A2,27.2829,"$1,414.73 "
26262,,Resect distal finger tumor,Y,A2,14.4363,$748.58 
26320,,Removal of implant from hand,N,A2,12.2852,$637.04 
26340,,Manipulate finger w/anesth,Y,G2,14.4363,$748.58 
26341,,Manipulat palm cord post inj,Y,P3,,$83.36 
26350,,Repair finger/hand tendon,Y,A2,27.2829,"$1,414.73 "
26352,,Repair/graft hand tendon,Y,A2,60.5101,"$3,137.69 "
26356,,Repair finger/hand tendon,Y,A2,27.2829,"$1,414.73 "
26357,,Repair finger/hand tendon,Y,A2,27.2829,"$1,414.73 "
26358,,Repair/graft hand tendon,Y,A2,60.5101,"$3,137.69 "
26370,,Repair finger/hand tendon,Y,A2,27.2829,"$1,414.73 "
26372,,Repair/graft hand tendon,Y,J8,78.2217,"$4,056.11 "
26373,,Repair finger/hand tendon,Y,A2,27.2829,"$1,414.73 "
26390,,Revise hand/finger tendon,Y,A2,60.5101,"$3,137.69 "
26392,,Repair/graft hand tendon,Y,A2,60.5101,"$3,137.69 "
26410,,Repair hand tendon,Y,A2,14.4363,$748.58 
26412,,Repair/graft hand tendon,Y,A2,27.2829,"$1,414.73 "
26415,,Excision hand/finger tendon,Y,A2,27.2829,"$1,414.73 "
26416,,Graft hand or finger tendon,Y,A2,27.2829,"$1,414.73 "
26418,,Repair finger tendon,Y,A2,14.4363,$748.58 
26420,,Repair/graft finger tendon,Y,A2,27.2829,"$1,414.73 "
26426,,Repair finger/hand tendon,Y,A2,27.2829,"$1,414.73 "
26428,,Repair/graft finger tendon,Y,A2,27.2829,"$1,414.73 "
26432,,Repair finger tendon,Y,A2,14.4363,$748.58 
26433,,Repair finger tendon,Y,A2,27.2829,"$1,414.73 "
26434,,Repair/graft finger tendon,Y,A2,27.2829,"$1,414.73 "
26437,,Realignment of tendons,Y,A2,27.2829,"$1,414.73 "
26440,,Release palm/finger tendon,Y,A2,14.4363,$748.58 
26442,,Release palm & finger tendon,Y,A2,27.2829,"$1,414.73 "
26445,,Release hand/finger tendon,Y,A2,27.2829,"$1,414.73 "
26449,,Release forearm/hand tendon,Y,A2,27.2829,"$1,414.73 "
26450,,Incision of palm tendon,Y,A2,27.2829,"$1,414.73 "
26455,,Incision of finger tendon,Y,A2,14.4363,$748.58 
26460,,Incise hand/finger tendon,Y,A2,14.4363,$748.58 
26471,,Fusion of finger tendons,Y,A2,27.2829,"$1,414.73 "
26474,,Fusion of finger tendons,Y,A2,14.4363,$748.58 
26476,,Tendon lengthening,Y,A2,27.2829,"$1,414.73 "
26477,,Tendon shortening,Y,A2,27.2829,"$1,414.73 "
26478,,Lengthening of hand tendon,Y,A2,27.2829,"$1,414.73 "
26479,,Shortening of hand tendon,Y,A2,27.2829,"$1,414.73 "
26480,,Transplant hand tendon,Y,A2,27.2829,"$1,414.73 "
26483,,Transplant/graft hand tendon,Y,A2,27.2829,"$1,414.73 "
26485,,Transplant palm tendon,Y,A2,27.2829,"$1,414.73 "
26489,,Transplant/graft palm tendon,Y,A2,27.2829,"$1,414.73 "
26490,,Revise thumb tendon,Y,A2,27.2829,"$1,414.73 "
26492,,Tendon transfer with graft,Y,A2,27.2829,"$1,414.73 "
26494,,Hand tendon/muscle transfer,Y,A2,27.2829,"$1,414.73 "
26496,,Revise thumb tendon,Y,A2,27.2829,"$1,414.73 "
26497,,Finger tendon transfer,Y,A2,27.2829,"$1,414.73 "
26498,,Finger tendon transfer,Y,A2,27.2829,"$1,414.73 "
26499,,Revision of finger,Y,A2,27.2829,"$1,414.73 "
26500,,Hand tendon reconstruction,Y,A2,60.5101,"$3,137.69 "
26502,,Hand tendon reconstruction,Y,A2,27.2829,"$1,414.73 "
26508,,Release thumb contracture,Y,A2,27.2829,"$1,414.73 "
26510,,Thumb tendon transfer,Y,A2,27.2829,"$1,414.73 "
26516,,Fusion of knuckle joint,Y,A2,27.2829,"$1,414.73 "
26517,,Fusion of knuckle joints,Y,A2,27.2829,"$1,414.73 "
26518,,Fusion of knuckle joints,Y,J8,77.7817,"$4,033.29 "
26520,,Release knuckle contracture,Y,A2,27.2829,"$1,414.73 "
26525,,Release finger contracture,Y,A2,14.4363,$748.58 
26530,,Revise knuckle joint,Y,J8,82.7236,"$4,289.55 "
26531,,Revise knuckle with implant,Y,J8,85.9048,"$4,454.51 "
26535,,Revise finger joint,Y,A2,27.2829,"$1,414.73 "
26536,,Revise/implant finger joint,Y,J8,81.6427,"$4,233.50 "
26540,,Repair hand joint,Y,A2,27.2829,"$1,414.73 "
26541,,Repair hand joint with graft,Y,J8,35.1657,"$1,823.48 "
26542,,Repair hand joint with graft,Y,A2,27.2829,"$1,414.73 "
26545,,Reconstruct finger joint,Y,J8,39.3356,"$2,039.71 "
26546,,Repair nonunion hand,Y,A2,60.5101,"$3,137.69 "
26548,,Reconstruct finger joint,Y,A2,27.2829,"$1,414.73 "
26550,,Construct thumb replacement,Y,A2,27.2829,"$1,414.73 "
26555,,Positional change of finger,Y,A2,60.5101,"$3,137.69 "
26560,,Repair of web finger,Y,A2,14.4363,$748.58 
26561,,Repair of web finger,Y,A2,27.2829,"$1,414.73 "
26562,,Repair of web finger,Y,A2,27.2829,"$1,414.73 "
26565,,Correct metacarpal flaw,Y,A2,27.2829,"$1,414.73 "
26567,,Correct finger deformity,Y,A2,27.2829,"$1,414.73 "
26568,,Lengthen metacarpal/finger,Y,J8,94.9863,"$4,925.42 "
26580,,Repair hand deformity,Y,A2,27.2829,"$1,414.73 "
26587,,Reconstruct extra finger,Y,A2,27.2829,"$1,414.73 "
26590,,Repair finger deformity,Y,A2,14.4363,$748.58 
26591,,Repair muscles of hand,Y,A2,27.2829,"$1,414.73 "
26593,,Release muscles of hand,Y,A2,27.2829,"$1,414.73 "
26596,,Excision constricting tissue,Y,A2,27.2829,"$1,414.73 "
26600,,Treat metacarpal fracture,Y,P2,2.0785,$107.78 
26605,,Treat metacarpal fracture,Y,A2,2.0785,$107.78 
26607,,Treat metacarpal fracture,Y,A2,27.2829,"$1,414.73 "
26608,,Treat metacarpal fracture,Y,A2,27.2829,"$1,414.73 "
26615,,Treat metacarpal fracture,Y,A2,27.2829,"$1,414.73 "
26641,,Treat thumb dislocation,Y,P2,2.0785,$107.78 
26645,,Treat thumb fracture,Y,A2,14.4363,$748.58 
26650,,Treat thumb fracture,Y,A2,27.2829,"$1,414.73 "
26665,,Treat thumb fracture,Y,A2,27.2829,"$1,414.73 "
26670,,Treat hand dislocation,Y,P2,2.0785,$107.78 
26675,,Treat hand dislocation,Y,A2,14.4363,$748.58 
26676,,Pin hand dislocation,Y,A2,27.2829,"$1,414.73 "
26685,,Treat hand dislocation,Y,A2,27.2829,"$1,414.73 "
26686,,Treat hand dislocation,Y,A2,27.2829,"$1,414.73 "
26700,,Treat knuckle dislocation,Y,P2,2.0785,$107.78 
26705,,Treat knuckle dislocation,Y,A2,14.4363,$748.58 
26706,,Pin knuckle dislocation,Y,A2,27.2829,"$1,414.73 "
26715,,Treat knuckle dislocation,Y,A2,27.2829,"$1,414.73 "
26720,,Treat finger fracture each,Y,P2,2.0785,$107.78 
26725,,Treat finger fracture each,Y,P2,2.0785,$107.78 
26727,,Treat finger fracture each,Y,A2,27.2829,"$1,414.73 "
26735,,Treat finger fracture each,Y,A2,27.2829,"$1,414.73 "
26740,,Treat finger fracture each,Y,P2,2.0785,$107.78 
26742,,Treat finger fracture each,Y,A2,14.4363,$748.58 
26746,,Treat finger fracture each,Y,A2,27.2829,"$1,414.73 "
26750,,Treat finger fracture each,Y,P2,2.0785,$107.78 
26755,,Treat finger fracture each,Y,G2,2.0785,$107.78 
26756,,Pin finger fracture each,Y,A2,27.2829,"$1,414.73 "
26765,,Treat finger fracture each,Y,A2,27.2829,"$1,414.73 "
26770,,Treat finger dislocation,Y,G2,2.0785,$107.78 
26775,,Treat finger dislocation,Y,P2,2.4088,$124.91 
26776,,Pin finger dislocation,Y,A2,27.2829,"$1,414.73 "
26785,,Treat finger dislocation,Y,A2,27.2829,"$1,414.73 "
26820,,Thumb fusion with graft,Y,J8,85.7432,"$4,446.13 "
26841,,Fusion of thumb,Y,A2,60.5101,"$3,137.69 "
26842,,Thumb fusion with graft,Y,A2,60.5101,"$3,137.69 "
26843,,Fusion of hand joint,Y,J8,78.9015,"$4,091.36 "
26844,,Fusion/graft of hand joint,Y,J8,77.7817,"$4,033.29 "
26850,,Fusion of knuckle,Y,A2,60.5101,"$3,137.69 "
26852,,Fusion of knuckle with graft,Y,A2,60.5101,"$3,137.69 "
26860,,Fusion of finger joint,Y,A2,27.2829,"$1,414.73 "
26861,,Fusion of finger jnt add-on,N,N1,,
26862,,Fusion/graft of finger joint,Y,A2,27.2829,"$1,414.73 "
26863,,Fuse/graft added joint,N,N1,,
26910,,Amputate metacarpal bone,Y,A2,27.2829,"$1,414.73 "
26951,,Amputation of finger/thumb,Y,A2,27.2829,"$1,414.73 "
26952,,Amputation of finger/thumb,Y,A2,27.2829,"$1,414.73 "
26990,,Drainage of pelvis lesion,Y,A2,27.2829,"$1,414.73 "
26991,,Drainage of pelvis bursa,Y,A2,14.4363,$748.58 
27000,,Incision of hip tendon,Y,A2,14.4363,$748.58 
27001,,Incision of hip tendon,Y,A2,27.2829,"$1,414.73 "
27003,,Incision of hip tendon,Y,A2,60.5101,"$3,137.69 "
27033,,Exploration of hip joint,Y,A2,60.5101,"$3,137.69 "
27035,,Denervation of hip joint,Y,A2,27.2829,"$1,414.73 "
27040,,Biopsy of soft tissues,Y,A2,12.2852,$637.04 
27041,,Biopsy of soft tissues,Y,A2,12.2852,$637.04 
27043,,Exc hip pelvis les sc 3 cm/>,Y,G2,20.6808,"$1,072.38 "
27045,,Exc hip/pelv tum deep 5 cm/>,Y,G2,20.6808,"$1,072.38 "
