Addendum AA -- ASC Covered Surgical Procedures for CY 2022                                                                                                      (Including Surgical Procedures for Which Payment is Packaged),,,,,,
"CPT codes and descriptions only are copyright 2021 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2021 American Dental Association.  All Rights Reserved. The existence or absence of a HCPCS code does not mean that an item or service is covered or non-covered. As a reminder, the fact that a drug, device, procedure, or service is assigned a HCPCS code and a payment rate under the OPPS does not imply coverage by the Medicare program, but indicates only how the product, procedure, or service may be paid if covered by the program. Medicare Administrative Contractors (MACs) determine whether a drug, device, procedure, or other service meets all program requirements for coverage. For example, MACs determine that it is reasonable and necessary to treat the beneficiary’s condition and whether it is excluded from payment.",,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting, Jan 2022 Payment Indicator, Jan 2022 Payment Weight  , Jan 2022 Payment Rate 
25105,,Remove wrist joint lining,Y,A2,27.2525,"$1,360.34 "
25107,,Remove wrist joint cartilage,Y,A2,27.2525,"$1,360.34 "
25109,,Excise tendon forearm/wrist,Y,G2,27.2525,"$1,360.34 "
25110,,Remove wrist tendon lesion,Y,A2,14.8510,$741.30 
25111,,Remove wrist tendon lesion,Y,A2,14.8510,$741.30 
25112,,Reremove wrist tendon lesion,Y,A2,14.8510,$741.30 
25115,,Remove wrist/forearm lesion,Y,A2,14.8510,$741.30 
25116,,Remove wrist/forearm lesion,Y,A2,27.2525,"$1,360.34 "
25118,,Excise wrist tendon sheath,Y,A2,14.8510,$741.30 
25119,,Partial removal of ulna,Y,A2,27.2525,"$1,360.34 "
25120,,Removal of forearm lesion,Y,A2,27.2525,"$1,360.34 "
25125,,Remove/graft forearm lesion,Y,A2,14.8510,$741.30 
25126,,Remove/graft forearm lesion,Y,A2,27.2525,"$1,360.34 "
25130,,Removal of wrist lesion,Y,A2,27.2525,"$1,360.34 "
25135,,Remove & graft wrist lesion,Y,A2,60.0639,"$2,998.15 "
25136,,Remove & graft wrist lesion,Y,A2,60.0639,"$2,998.15 "
25145,,Remove forearm bone lesion,Y,A2,27.2525,"$1,360.34 "
25150,,Partial removal of ulna,Y,A2,27.2525,"$1,360.34 "
25151,,Partial removal of radius,Y,A2,27.2525,"$1,360.34 "
25210,,Removal of wrist bone,Y,A2,27.2525,"$1,360.34 "
25215,,Removal of wrist bones,Y,A2,27.2525,"$1,360.34 "
25230,,Partial removal of radius,Y,A2,27.2525,"$1,360.34 "
25240,,Partial removal of ulna,Y,A2,27.2525,"$1,360.34 "
25246,,Injection for wrist x-ray,N,N1,,
25248,,Remove forearm foreign body,Y,A2,14.8510,$741.30 
25250,,Removal of wrist prosthesis,N,A2,14.8510,$741.30 
25251,,Removal of wrist prosthesis,N,A2,27.2525,"$1,360.34 "
25259,,Manipulate wrist w/anesthes,Y,G2,14.8510,$741.30 
25260,,Repair forearm tendon/muscle,Y,A2,27.2525,"$1,360.34 "
25263,,Repair forearm tendon/muscle,Y,A2,60.0639,"$2,998.15 "
25265,,Repair forearm tendon/muscle,Y,A2,27.2525,"$1,360.34 "
25270,,Repair forearm tendon/muscle,Y,A2,27.2525,"$1,360.34 "
25272,,Repair forearm tendon/muscle,Y,A2,27.2525,"$1,360.34 "
25274,,Repair forearm tendon/muscle,Y,A2,27.2525,"$1,360.34 "
25275,,Repair forearm tendon sheath,Y,A2,27.2525,"$1,360.34 "
25280,,Revise wrist/forearm tendon,Y,A2,27.2525,"$1,360.34 "
25290,,Incise wrist/forearm tendon,Y,A2,27.2525,"$1,360.34 "
25295,,Release wrist/forearm tendon,Y,A2,27.2525,"$1,360.34 "
25300,,Fusion of tendons at wrist,Y,A2,27.2525,"$1,360.34 "
25301,,Fusion of tendons at wrist,Y,A2,27.2525,"$1,360.34 "
25310,,Transplant forearm tendon,Y,A2,27.2525,"$1,360.34 "
25312,,Transplant forearm tendon,Y,A2,27.2525,"$1,360.34 "
25315,,Revise palsy hand tendon(s),Y,A2,60.0639,"$2,998.15 "
25316,,Revise palsy hand tendon(s),Y,A2,60.0639,"$2,998.15 "
25320,,Repair/revise wrist joint,Y,A2,60.0639,"$2,998.15 "
25332,,Revise wrist joint,Y,A2,27.2525,"$1,360.34 "
25335,,Realignment of hand,Y,A2,27.2525,"$1,360.34 "
25337,,Reconstruct ulna/radioulnar,Y,J8,78.5341,"$3,920.11 "
25350,,Revision of radius,Y,J8,84.7923,"$4,232.49 "
25355,,Revision of radius,Y,A2,27.2525,"$1,360.34 "
25360,,Revision of ulna,Y,J8,78.4406,"$3,915.44 "
25365,,Revise radius & ulna,Y,A2,120.4779,"$6,013.77 "
25370,,Revise radius or ulna,Y,A2,27.2525,"$1,360.34 "
25375,,Revise radius & ulna,Y,A2,27.2525,"$1,360.34 "
25390,,Shorten radius or ulna,Y,J8,82.7805,"$4,132.07 "
25391,,Lengthen radius or ulna,Y,J8,171.8739,"$8,579.26 "
25392,,Shorten radius & ulna,Y,A2,60.0639,"$2,998.15 "
25393,,Lengthen radius & ulna,Y,J8,79.0196,"$3,944.34 "
25394,,Repair carpal bone shorten,Y,G2,27.2525,"$1,360.34 "
25400,,Repair radius or ulna,Y,J8,84.1956,"$4,202.71 "
25405,,Repair/graft radius or ulna,Y,J8,82.9031,"$4,138.19 "
25415,,Repair radius & ulna,Y,J8,89.2023,"$4,452.62 "
25420,,Repair/graft radius & ulna,Y,J8,85.9388,"$4,289.72 "
25425,,Repair/graft radius or ulna,Y,A2,60.0639,"$2,998.15 "
25426,,Repair/graft radius & ulna,Y,J8,37.0739,"$1,850.58 "
25430,,Vasc graft into carpal bone,Y,G2,27.2525,"$1,360.34 "
25431,,Repair nonunion carpal bone,Y,G2,60.0639,"$2,998.15 "
25440,,Repair/graft wrist bone,Y,A2,60.0639,"$2,998.15 "
25441,,Reconstruct wrist joint,Y,J8,191.6416,"$9,565.98 "
25442,,Reconstruct wrist joint,Y,J8,261.2765,"$13,041.88 "
25443,,Reconstruct wrist joint,Y,J8,89.7812,"$4,481.52 "
25444,,Reconstruct wrist joint,Y,J8,187.2071,"$9,344.63 "
25445,,Reconstruct wrist joint,Y,J8,90.4363,"$4,514.22 "
25446,,Wrist replacement,Y,J8,268.6175,"$13,408.31 "
25447,,Repair wrist joints,Y,A2,27.2525,"$1,360.34 "
25449,,Remove wrist joint implant,Y,A2,60.0639,"$2,998.15 "
25450,,Revision of wrist joint,Y,A2,27.2525,"$1,360.34 "
25455,,Revision of wrist joint,Y,A2,27.2525,"$1,360.34 "
25490,,Reinforce radius,Y,A2,60.0639,"$2,998.15 "
25491,,Reinforce ulna,Y,J8,156.8459,"$7,829.12 "
25492,,Reinforce radius and ulna,Y,A2,27.2525,"$1,360.34 "
25500,,Treat fracture of radius,Y,P2,2.1366,$106.65 
25505,,Treat fracture of radius,Y,A2,14.8510,$741.30 
25515,,Treat fracture of radius,Y,J8,80.7977,"$4,033.10 "
25520,,Treat fracture of radius,Y,A2,14.8510,$741.30 
25525,,Treat fracture of radius,Y,J8,79.1716,"$3,951.93 "
25526,,Treat fracture of radius,Y,J8,78.1950,"$3,903.18 "
25530,,Treat fracture of ulna,Y,P2,2.1366,$106.65 
25535,,Treat fracture of ulna,Y,A2,2.1366,$106.65 
25545,,Treat fracture of ulna,Y,J8,79.1365,"$3,950.18 "
25560,,Treat fracture radius & ulna,Y,P2,2.1366,$106.65 
25565,,Treat fracture radius & ulna,Y,A2,14.8510,$741.30 
25574,,Treat fracture radius & ulna,Y,J8,85.7398,"$4,279.79 "
25575,,Treat fracture radius/ulna,Y,J8,83.6517,"$4,175.56 "
25600,,Treat fracture radius/ulna,Y,P2,2.1366,$106.65 
25605,,Treat fracture radius/ulna,Y,A2,14.8510,$741.30 
25606,,Treat fx distal radial,Y,A2,27.2525,"$1,360.34 "
25607,,Treat fx rad extra-articul,Y,J8,86.2487,"$4,305.19 "
25608,,Treat fx rad intra-articul,Y,J8,86.0790,"$4,296.72 "
25609,,Treat fx radial 3+ frag,Y,J8,86.4593,"$4,315.70 "
25622,,Treat wrist bone fracture,Y,P2,2.1366,$106.65 
25624,,Treat wrist bone fracture,Y,A2,14.8510,$741.30 
25628,,Treat wrist bone fracture,Y,A2,60.0639,"$2,998.15 "
25630,,Treat wrist bone fracture,Y,P2,2.1366,$106.65 
25635,,Treat wrist bone fracture,Y,A2,14.8510,$741.30 
25645,,Treat wrist bone fracture,Y,A2,27.2525,"$1,360.34 "
25650,,Treat wrist bone fracture,Y,P2,2.1366,$106.65 
25651,,Pin ulnar styloid fracture,Y,G2,27.2525,"$1,360.34 "
25652,,Treat fracture ulnar styloid,Y,J8,78.1599,"$3,901.43 "
25660,,Treat wrist dislocation,Y,A2,2.1366,$106.65 
25670,,Treat wrist dislocation,Y,J8,93.6998,"$4,677.12 "
25671,,Pin radioulnar dislocation,Y,A2,27.2525,"$1,360.34 "
25675,,Treat wrist dislocation,Y,A2,2.1366,$106.65 
25676,,Treat wrist dislocation,Y,A2,60.0639,"$2,998.15 "
25680,,Treat wrist fracture,Y,A2,2.1366,$106.65 
25685,,Treat wrist fracture,Y,A2,60.0639,"$2,998.15 "
25690,,Treat wrist dislocation,Y,A2,14.8510,$741.30 
25695,,Treat wrist dislocation,Y,A2,60.0639,"$2,998.15 "
25800,,Fusion of wrist joint,Y,J8,82.2013,"$4,103.16 "
25805,,Fusion/graft of wrist joint,Y,J8,85.5351,"$4,269.57 "
25810,,Fusion/graft of wrist joint,Y,J8,170.7242,"$8,521.87 "
25820,,Fusion of hand bones,Y,J8,82.2071,"$4,103.45 "
25825,,Fuse hand bones with graft,Y,J8,83.0904,"$4,147.54 "
25830,,Fusion radioulnar jnt/ulna,Y,A2,60.0639,"$2,998.15 "
25907,,Amputation follow-up surgery,Y,A2,27.2525,"$1,360.34 "
25922,,Amputate hand at wrist,Y,A2,14.8510,$741.30 
25929,,Amputation follow-up surgery,Y,A2,17.7550,$886.26 
25931,,Amputation follow-up surgery,Y,G2,27.2525,"$1,360.34 "
26010,,Drainage of finger abscess,Y,P2,1.8616,$92.92 
26011,,Drainage of finger abscess,Y,A2,12.1817,$608.06 
26020,,Drain hand tendon sheath,Y,A2,27.2525,"$1,360.34 "
26025,,Drainage of palm bursa,Y,A2,27.2525,"$1,360.34 "
26030,,Drainage of palm bursas,Y,A2,27.2525,"$1,360.34 "
26034,,Treat hand bone lesion,Y,A2,14.8510,$741.30 
26035,,Decompress fingers/hand,Y,G2,27.2525,"$1,360.34 "
26037,,Decompress fingers/hand,Y,G2,27.2525,"$1,360.34 "
26040,,Release palm contracture,Y,A2,14.8510,$741.30 
26045,,Release palm contracture,Y,A2,27.2525,"$1,360.34 "
26055,,Incise finger tendon sheath,Y,A2,14.8510,$741.30 
26060,,Incision of finger tendon,Y,A2,14.8510,$741.30 
26070,,Explore/treat hand joint,Y,A2,14.8510,$741.30 
26075,,Explore/treat finger joint,Y,A2,27.2525,"$1,360.34 "
26080,,Explore/treat finger joint,Y,A2,14.8510,$741.30 
26100,,Biopsy hand joint lining,Y,A2,27.2525,"$1,360.34 "
26105,,Biopsy finger joint lining,Y,A2,27.2525,"$1,360.34 "
26110,,Biopsy finger joint lining,Y,A2,14.8510,$741.30 
26111,,Exc hand les sc 1.5 cm/>,Y,G2,12.1817,$608.06 
26113,,Exc hand tum deep 1.5 cm/>,Y,G2,12.1817,$608.06 
26115,,Exc hand les sc < 1.5 cm,Y,G2,12.1817,$608.06 
26116,,Exc hand tum deep < 1.5 cm,Y,G2,12.1817,$608.06 
26117,,Rad resect hand tumor < 3 cm,Y,G2,20.4143,"$1,019.00 "
26118,,Rad resect hand tumor 3 cm/>,Y,G2,20.4143,"$1,019.00 "
26121,,Release palm contracture,Y,A2,27.2525,"$1,360.34 "
26123,,Release palm contracture,Y,A2,27.2525,"$1,360.34 "
26125,,Release palm contracture,N,N1,,
26130,,Remove wrist joint lining,Y,A2,27.2525,"$1,360.34 "
26135,,Revise finger joint each,Y,A2,27.2525,"$1,360.34 "
26140,,Revise finger joint each,Y,A2,14.8510,$741.30 
26145,,Tendon excision palm/finger,Y,A2,14.8510,$741.30 
26160,,Remove tendon sheath lesion,Y,A2,14.8510,$741.30 
26170,,Removal of palm tendon each,Y,A2,14.8510,$741.30 
26180,,Removal of finger tendon,Y,A2,14.8510,$741.30 
26185,,Remove finger bone,Y,A2,14.8510,$741.30 
26200,,Remove hand bone lesion,Y,A2,14.8510,$741.30 
26205,,Remove/graft bone lesion,Y,A2,60.0639,"$2,998.15 "
26210,,Removal of finger lesion,Y,A2,14.8510,$741.30 
26215,,Remove/graft finger lesion,Y,A2,27.2525,"$1,360.34 "
26230,,Partial removal of hand bone,Y,A2,27.2525,"$1,360.34 "
26235,,Partial removal finger bone,Y,A2,14.8510,$741.30 
26236,,Partial removal finger bone,Y,A2,14.8510,$741.30 
26250,,Extensive hand surgery,Y,A2,27.2525,"$1,360.34 "
26260,,Resect prox finger tumor,Y,A2,27.2525,"$1,360.34 "
26262,,Resect distal finger tumor,Y,A2,14.8510,$741.30 
26320,,Removal of implant from hand,N,A2,12.1817,$608.06 
26340,,Manipulate finger w/anesth,Y,G2,14.8510,$741.30 
26341,,Manipulat palm cord post inj,Y,P3,,$83.40 
26350,,Repair finger/hand tendon,Y,A2,27.2525,"$1,360.34 "
26352,,Repair/graft hand tendon,Y,A2,60.0639,"$2,998.15 "
26356,,Repair finger/hand tendon,Y,A2,27.2525,"$1,360.34 "
26357,,Repair finger/hand tendon,Y,A2,27.2525,"$1,360.34 "
26358,,Repair/graft hand tendon,Y,A2,60.0639,"$2,998.15 "
26370,,Repair finger/hand tendon,Y,A2,27.2525,"$1,360.34 "
26372,,Repair/graft hand tendon,Y,A2,60.0639,"$2,998.15 "
26373,,Repair finger/hand tendon,Y,A2,27.2525,"$1,360.34 "
26390,,Revise hand/finger tendon,Y,J8,80.1835,"$4,002.44 "
26392,,Repair/graft hand tendon,Y,A2,60.0639,"$2,998.15 "
26410,,Repair hand tendon,Y,A2,14.8510,$741.30 
26412,,Repair/graft hand tendon,Y,A2,27.2525,"$1,360.34 "
26415,,Excision hand/finger tendon,Y,A2,27.2525,"$1,360.34 "
26416,,Graft hand or finger tendon,Y,A2,27.2525,"$1,360.34 "
26418,,Repair finger tendon,Y,A2,14.8510,$741.30 
26420,,Repair/graft finger tendon,Y,A2,27.2525,"$1,360.34 "
26426,,Repair finger/hand tendon,Y,A2,27.2525,"$1,360.34 "
26428,,Repair/graft finger tendon,Y,A2,27.2525,"$1,360.34 "
26432,,Repair finger tendon,Y,A2,14.8510,$741.30 
26433,,Repair finger tendon,Y,A2,27.2525,"$1,360.34 "
26434,,Repair/graft finger tendon,Y,A2,27.2525,"$1,360.34 "
26437,,Realignment of tendons,Y,A2,27.2525,"$1,360.34 "
26440,,Release palm/finger tendon,Y,A2,14.8510,$741.30 
26442,,Release palm & finger tendon,Y,A2,27.2525,"$1,360.34 "
26445,,Release hand/finger tendon,Y,A2,27.2525,"$1,360.34 "
26449,,Release forearm/hand tendon,Y,A2,27.2525,"$1,360.34 "
26450,,Incision of palm tendon,Y,A2,27.2525,"$1,360.34 "
26455,,Incision of finger tendon,Y,A2,14.8510,$741.30 
26460,,Incise hand/finger tendon,Y,A2,14.8510,$741.30 
26471,,Fusion of finger tendons,Y,A2,27.2525,"$1,360.34 "
26474,,Fusion of finger tendons,Y,A2,14.8510,$741.30 
26476,,Tendon lengthening,Y,A2,27.2525,"$1,360.34 "
26477,,Tendon shortening,Y,A2,27.2525,"$1,360.34 "
26478,,Lengthening of hand tendon,Y,A2,27.2525,"$1,360.34 "
26479,,Shortening of hand tendon,Y,A2,27.2525,"$1,360.34 "
26480,,Transplant hand tendon,Y,A2,27.2525,"$1,360.34 "
26483,,Transplant/graft hand tendon,Y,A2,27.2525,"$1,360.34 "
26485,,Transplant palm tendon,Y,A2,27.2525,"$1,360.34 "
26489,,Transplant/graft palm tendon,Y,A2,27.2525,"$1,360.34 "
26490,,Revise thumb tendon,Y,A2,27.2525,"$1,360.34 "
26492,,Tendon transfer with graft,Y,A2,27.2525,"$1,360.34 "
26494,,Hand tendon/muscle transfer,Y,A2,27.2525,"$1,360.34 "
26496,,Revise thumb tendon,Y,A2,27.2525,"$1,360.34 "
26497,,Finger tendon transfer,Y,A2,27.2525,"$1,360.34 "
26498,,Finger tendon transfer,Y,A2,27.2525,"$1,360.34 "
26499,,Revision of finger,Y,A2,27.2525,"$1,360.34 "
26500,,Hand tendon reconstruction,Y,A2,60.0639,"$2,998.15 "
26502,,Hand tendon reconstruction,Y,A2,27.2525,"$1,360.34 "
26508,,Release thumb contracture,Y,A2,27.2525,"$1,360.34 "
26510,,Thumb tendon transfer,Y,A2,27.2525,"$1,360.34 "
26516,,Fusion of knuckle joint,Y,J8,35.2508,"$1,759.58 "
26517,,Fusion of knuckle joints,Y,A2,27.2525,"$1,360.34 "
26518,,Fusion of knuckle joints,Y,J8,78.1950,"$3,903.18 "
26520,,Release knuckle contracture,Y,A2,27.2525,"$1,360.34 "
26525,,Release finger contracture,Y,A2,14.8510,$741.30 
26530,,Revise knuckle joint,Y,J8,79.0606,"$3,946.39 "
26531,,Revise knuckle with implant,Y,J8,87.6581,"$4,375.54 "
26535,,Revise finger joint,Y,A2,27.2525,"$1,360.34 "
26536,,Revise/implant finger joint,Y,J8,82.4119,"$4,113.67 "
26540,,Repair hand joint,Y,A2,27.2525,"$1,360.34 "
26541,,Repair hand joint with graft,Y,A2,27.2525,"$1,360.34 "
26542,,Repair hand joint with graft,Y,A2,27.2525,"$1,360.34 "
26545,,Reconstruct finger joint,Y,A2,27.2525,"$1,360.34 "
26546,,Repair nonunion hand,Y,A2,60.0639,"$2,998.15 "
26548,,Reconstruct finger joint,Y,A2,27.2525,"$1,360.34 "
26550,,Construct thumb replacement,Y,A2,27.2525,"$1,360.34 "
26555,,Positional change of finger,Y,A2,60.0639,"$2,998.15 "
26560,,Repair of web finger,Y,A2,14.8510,$741.30 
26561,,Repair of web finger,Y,A2,27.2525,"$1,360.34 "
26562,,Repair of web finger,Y,A2,27.2525,"$1,360.34 "
26565,,Correct metacarpal flaw,Y,A2,27.2525,"$1,360.34 "
26567,,Correct finger deformity,Y,A2,27.2525,"$1,360.34 "
26568,,Lengthen metacarpal/finger,Y,J8,78.1950,"$3,903.18 "
26580,,Repair hand deformity,Y,A2,27.2525,"$1,360.34 "
26587,,Reconstruct extra finger,Y,A2,27.2525,"$1,360.34 "
26590,,Repair finger deformity,Y,A2,14.8510,$741.30 
26591,,Repair muscles of hand,Y,A2,27.2525,"$1,360.34 "
26593,,Release muscles of hand,Y,A2,27.2525,"$1,360.34 "
26596,,Excision constricting tissue,Y,A2,27.2525,"$1,360.34 "
26600,,Treat metacarpal fracture,Y,P2,2.1366,$106.65 
26605,,Treat metacarpal fracture,Y,A2,2.1366,$106.65 
26607,,Treat metacarpal fracture,Y,A2,27.2525,"$1,360.34 "
26608,,Treat metacarpal fracture,Y,A2,27.2525,"$1,360.34 "
26615,,Treat metacarpal fracture,Y,A2,27.2525,"$1,360.34 "
26641,,Treat thumb dislocation,Y,P2,2.1366,$106.65 
26645,,Treat thumb fracture,Y,A2,14.8510,$741.30 
26650,,Treat thumb fracture,Y,A2,27.2525,"$1,360.34 "
26665,,Treat thumb fracture,Y,A2,27.2525,"$1,360.34 "
26670,,Treat hand dislocation,Y,P2,2.1366,$106.65 
26675,,Treat hand dislocation,Y,A2,14.8510,$741.30 
26676,,Pin hand dislocation,Y,A2,27.2525,"$1,360.34 "
26685,,Treat hand dislocation,Y,A2,27.2525,"$1,360.34 "
26686,,Treat hand dislocation,Y,A2,27.2525,"$1,360.34 "
26700,,Treat knuckle dislocation,Y,P2,2.1366,$106.65 
26705,,Treat knuckle dislocation,Y,A2,14.8510,$741.30 
26706,,Pin knuckle dislocation,Y,A2,27.2525,"$1,360.34 "
26715,,Treat knuckle dislocation,Y,A2,27.2525,"$1,360.34 "
26720,,Treat finger fracture each,Y,P2,2.1366,$106.65 
26725,,Treat finger fracture each,Y,P2,2.1366,$106.65 
26727,,Treat finger fracture each,Y,A2,27.2525,"$1,360.34 "
26735,,Treat finger fracture each,Y,A2,27.2525,"$1,360.34 "
26740,,Treat finger fracture each,Y,P2,2.1366,$106.65 
26742,,Treat finger fracture each,Y,A2,14.8510,$741.30 
26746,,Treat finger fracture each,Y,A2,27.2525,"$1,360.34 "
26750,,Treat finger fracture each,Y,P2,2.1366,$106.65 
26755,,Treat finger fracture each,Y,G2,2.1366,$106.65 
26756,,Pin finger fracture each,Y,A2,27.2525,"$1,360.34 "
26765,,Treat finger fracture each,Y,A2,27.2525,"$1,360.34 "
26770,,Treat finger dislocation,Y,G2,2.1366,$106.65 
26775,,Treat finger dislocation,Y,P2,2.5007,$124.82 
26776,,Pin finger dislocation,Y,A2,27.2525,"$1,360.34 "
26785,,Treat finger dislocation,Y,A2,27.2525,"$1,360.34 "
26820,,Thumb fusion with graft,Y,J8,83.8623,"$4,186.07 "
26841,,Fusion of thumb,Y,A2,60.0639,"$2,998.15 "
26842,,Thumb fusion with graft,Y,A2,60.0639,"$2,998.15 "
26843,,Fusion of hand joint,Y,J8,81.4234,"$4,064.33 "
26844,,Fusion/graft of hand joint,Y,J8,93.4017,"$4,662.24 "
26850,,Fusion of knuckle,Y,A2,60.0639,"$2,998.15 "
26852,,Fusion of knuckle with graft,Y,A2,60.0639,"$2,998.15 "
26860,,Fusion of finger joint,Y,A2,27.2525,"$1,360.34 "
26861,,Fusion of finger jnt add-on,N,N1,,
26862,,Fusion/graft of finger joint,Y,A2,27.2525,"$1,360.34 "
26863,,Fuse/graft added joint,N,N1,,
26910,,Amputate metacarpal bone,Y,A2,27.2525,"$1,360.34 "
26951,,Amputation of finger/thumb,Y,A2,27.2525,"$1,360.34 "
26952,,Amputation of finger/thumb,Y,A2,27.2525,"$1,360.34 "
26990,,Drainage of pelvis lesion,Y,A2,27.2525,"$1,360.34 "
26991,,Drainage of pelvis bursa,Y,A2,14.8510,$741.30 
27000,,Incision of hip tendon,Y,A2,14.8510,$741.30 
27001,,Incision of hip tendon,Y,A2,27.2525,"$1,360.34 "
27003,,Incision of hip tendon,Y,A2,60.0639,"$2,998.15 "
27033,,Exploration of hip joint,Y,A2,60.0639,"$2,998.15 "
27035,,Denervation of hip joint,Y,A2,27.2525,"$1,360.34 "
27040,,Biopsy of soft tissues,Y,A2,12.1817,$608.06 
27041,,Biopsy of soft tissues,Y,A2,12.1817,$608.06 
27043,,Exc hip pelvis les sc 3 cm/>,Y,G2,20.4143,"$1,019.00 "
27045,,Exc hip/pelv tum deep 5 cm/>,Y,G2,20.4143,"$1,019.00 "
27047,,Exc hip/pelvis les sc < 3 cm,Y,G2,20.4143,"$1,019.00 "
27048,,Exc hip/pelv tum deep < 5 cm,Y,G2,20.4143,"$1,019.00 "
27049,,Resect hip/pelv tum < 5 cm,Y,G2,20.4143,"$1,019.00 "
27050,,Biopsy of sacroiliac joint,Y,A2,14.8510,$741.30 
27052,,Biopsy of hip joint,Y,A2,14.8510,$741.30 
27059,,Resect hip/pelv tum 5 cm/>,Y,G2,20.4143,"$1,019.00 "
27060,,Removal of ischial bursa,Y,A2,60.0639,"$2,998.15 "
27062,,Remove femur lesion/bursa,Y,A2,27.2525,"$1,360.34 "
27065,,Remove hip bone les super,Y,A2,60.0639,"$2,998.15 "
27066,,Remove hip bone les deep,Y,A2,27.2525,"$1,360.34 "
27067,,Remove/graft hip bone lesion,Y,A2,60.0639,"$2,998.15 "
27080,,Removal of tail bone,Y,A2,27.2525,"$1,360.34 "
27086,,Remove hip foreign body,Y,A2,20.4143,"$1,019.00 "
27087,,Remove hip foreign body,Y,A2,27.2525,"$1,360.34 "
27093,,Injection for hip x-ray,N,N1,,
27095,,Injection for hip x-ray,N,N1,,
27097,,Revision of hip tendon,Y,A2,27.2525,"$1,360.34 "
27098,,Transfer tendon to pelvis,Y,A2,27.2525,"$1,360.34 "
27100,,Transfer of abdominal muscle,Y,J8,81.3475,"$4,060.54 "
27105,,Transfer of spinal muscle,Y,A2,27.2525,"$1,360.34 "
27110,,Transfer of iliopsoas muscle,Y,J8,88.6407,"$4,424.59 "
27111,,Transfer of iliopsoas muscle,Y,A2,27.2525,"$1,360.34 "
27130,,Total hip arthroplasty,Y,J8,180.8015,"$9,024.89 "
27197,,Clsd tx pelvic ring fx,Y,G2,2.1366,$106.65 
27198,,Clsd tx pelvic ring fx,Y,G2,2.1366,$106.65 
27200,,Treat tail bone fracture,Y,P2,2.1366,$106.65 
27202,,Treat tail bone fracture,Y,A2,27.2525,"$1,360.34 "
27220,,Treat hip socket fracture,Y,G2,2.1366,$106.65 
27230,,Treat thigh fracture,Y,A2,2.1366,$106.65 
27238,,Treat thigh fracture,Y,A2,14.8510,$741.30 
27246,,Treat thigh fracture,Y,A2,2.1366,$106.65 
27250,,Treat hip dislocation,Y,A2,2.1366,$106.65 
27252,,Treat hip dislocation,Y,A2,14.8510,$741.30 
27256,,Treat hip dislocation,Y,G2,2.1366,$106.65 
27257,,Treat hip dislocation,Y,A2,14.8510,$741.30 
27265,,Treat hip dislocation,Y,A2,2.1366,$106.65 
27266,,Treat hip dislocation,Y,A2,14.8510,$741.30 
27267,,Cltx thigh fx,Y,G2,27.2525,"$1,360.34 "
27275,,Manipulation of hip joint,Y,A2,14.8510,$741.30 
27279,,Arthrodesis sacroiliac joint,Y,J8,271.3957,"$13,546.99 "
27301,,Drain thigh/knee lesion,Y,A2,20.4143,"$1,019.00 "
27305,,Incise thigh tendon & fascia,Y,A2,27.2525,"$1,360.34 "
27306,,Incision of thigh tendon,Y,A2,27.2525,"$1,360.34 "
27307,,Incision of thigh tendons,Y,A2,27.2525,"$1,360.34 "
27310,,Exploration of knee joint,Y,A2,27.2525,"$1,360.34 "
27323,,Biopsy thigh soft tissues,Y,A2,12.1817,$608.06 
27324,,Biopsy thigh soft tissues,Y,A2,20.4143,"$1,019.00 "
27325,,Neurectomy hamstring,Y,A2,16.5264,$824.93 
27326,,Neurectomy popliteal,Y,A2,16.5264,$824.93 
27327,,Exc thigh/knee les sc < 3 cm,Y,G2,12.1817,$608.06 
27328,,Exc thigh/knee tum deep <5cm,Y,G2,20.4143,"$1,019.00 "
27329,,Resect thigh/knee tum < 5 cm,Y,G2,20.4143,"$1,019.00 "
27330,,Biopsy knee joint lining,Y,A2,27.2525,"$1,360.34 "
27331,,Explore/treat knee joint,Y,A2,27.2525,"$1,360.34 "
27332,,Removal of knee cartilage,Y,A2,27.2525,"$1,360.34 "
27333,,Removal of knee cartilage,Y,A2,27.2525,"$1,360.34 "
27334,,Remove knee joint lining,Y,A2,27.2525,"$1,360.34 "
27335,,Remove knee joint lining,Y,A2,60.0639,"$2,998.15 "
27337,,Exc thigh/knee les sc 3 cm/>,Y,G2,20.4143,"$1,019.00 "
27339,,Exc thigh/knee tum dep 5cm/>,Y,G2,20.4143,"$1,019.00 "
27340,,Removal of kneecap bursa,Y,A2,27.2525,"$1,360.34 "
27345,,Removal of knee cyst,Y,A2,27.2525,"$1,360.34 "
27347,,Remove knee cyst,Y,A2,27.2525,"$1,360.34 "
27350,,Removal of kneecap,Y,A2,60.0639,"$2,998.15 "
27355,,Remove femur lesion,Y,A2,27.2525,"$1,360.34 "
27356,,Remove femur lesion/graft,Y,J8,156.8459,"$7,829.12 "
27357,,Remove femur lesion/graft,Y,J8,78.1950,"$3,903.18 "
27358,,Remove femur lesion/fixation,N,N1,,
27360,,Partial removal leg bone(s),Y,A2,27.2525,"$1,360.34 "
27364,,Resect thigh/knee tum 5 cm/>,Y,G2,20.4143,"$1,019.00 "
27369,,Njx cntrst kne arthg/ct/mri,N,N1,,
27372,,Removal of foreign body,Y,A2,20.4143,"$1,019.00 "
