Addendum AA -- ASC Covered Surgical Procedures for CY 2024                                                                                                                                (Including Surgical Procedures for Which Payment is Packaged)							
CPT codes and descriptions only are copyright 2023 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2023 American Dental Association.  All Rights Reserved.							
							
HCPCS Code		Short Descriptor	Subject to Multiple Procedure Discounting	January 2024  Payment Indicator	January 2024  Payment Weight  	January 2024 Payment Rate 	
24071		Exc arm/elbow les sc 3 cm/>	Y	G2	21.6231	"$1,157.14"	
24073		Ex arm/elbow tum deep 5 cm/>	Y	G2	21.6231	"$1,157.14"	
24075		Exc arm/elbow les sc < 3 cm	Y	G2	12.7612	$682.90	
24076		Ex arm/elbow tum deep < 5 cm	Y	G2	21.6231	"$1,157.14"	
24077		Rad rescj tum tiss a/e <5cm	Y	G2	21.6231	"$1,157.14"	
24079		Rad rescj tum tiss a/e 5 cm+	Y	G2	21.6231	"$1,157.14"	
24100		Arthrt elbw synovial bx only	Y	A2	28.3836	"$1,518.92"	
24101		Arthrt elbw jt expl bx rmvl	Y	A2	28.3836	"$1,518.92"	
24102		Arthrt elbow w/synovectomy	Y	A2	28.3836	"$1,518.92"	
24105		Excision olecranon bursa	Y	A2	28.3836	"$1,518.92"	
24110		Exc/curtg b1 cst/b9 tum hum	Y	A2	28.3836	"$1,518.92"	
24115		Exc/crtg b1 cst/tum hum agrf	Y	A2	63.4025	"$3,392.92"	
24116		Exc/crtg b1 cst/tum hum algr	Y	J8	79.8488	"$4,273.03"	
24120		Exc/crtg b1 cst/b9 tum rds	Y	A2	28.3836	"$1,518.92"	
24125		Exc/crtg b1 cst/tum rds agrf	Y	A2	28.3836	"$1,518.92"	
24126		Exc/crtg b1 cst/tum rds algr	Y	J8	97.245	"$5,203.97"	
24130		Excision radial head	Y	A2	28.3836	"$1,518.92"	
24134		Sequestrectomy shft/dstl hum	Y	A2	63.4025	"$3,392.92"	
24136		Sequestrectomy radial h/n	Y	A2	28.3836	"$1,518.92"	
24138		Sequestrectomy olecrn proces	Y	A2	63.4025	"$3,392.92"	
24140		Partial exc bone humerus	Y	A2	28.3836	"$1,518.92"	
24145		Prtl exc bone radial h/n	Y	A2	63.4025	"$3,392.92"	
24147		Prtl exc bone olecrn process	Y	A2	28.3836	"$1,518.92"	
24149		Radical resection of elbow	Y	G2	63.4025	"$3,392.92"	
24152		Rad resection tum radial h/n	Y	J8	84.2789	"$4,510.10"	
24155		Resection of elbow joint	Y	A2	28.3836	"$1,518.92"	
24160		Rmvl prosthhumrl&ulnar cmpnt	N	A2	28.3836	"$1,518.92"	
24164		Removal prosth radial head	N	A2	28.3836	"$1,518.92"	
24200		Rmvl fb upper arm/elbw subq	Y	P3		$147.68	
24201		Rmvl fb upper arm/elbw deep	Y	A2	21.6231	"$1,157.14"	
24220		Injection px for elbow arthg	N	N1			
24300		Mnpj elbow under anes	Y	G2	15.3049	$819.03	
24301		Musc/tdn transfer upr a/e 1	Y	A2	63.4025	"$3,392.92"	
24305		Tendon lngth upr a/e ea tdn	Y	A2	28.3836	"$1,518.92"	
24310		Tnot opn elbw to sho ea tdn	Y	A2	28.3836	"$1,518.92"	
24320		Tenoplasty elbow to sho 1	Y	A2	63.4025	"$3,392.92"	
24330		Flexor-plasty elbow	Y	A2	63.4025	"$3,392.92"	
24331		Flexor-plasty elbw w/advmnt	Y	A2	63.4025	"$3,392.92"	
24332		Tenolysis triceps	Y	G2	28.3836	"$1,518.92"	
24340		Tenodesis biceps tdn at elbw	Y	G2	63.4025	"$3,392.92"	
24341		Rpr tdn/musc upr a/e each	Y	A2	63.4025	"$3,392.92"	
24342		Repair of ruptured tendon	Y	A2	63.4025	"$3,392.92"	
24343		Repr elbow lat ligmnt w/tiss	Y	G2	28.3836	"$1,518.92"	
24344		Reconstruct elbow lat ligmnt	Y	G2	63.4025	"$3,392.92"	
24345		Repr elbw med ligmnt w/tissu	Y	A2	63.4025	"$3,392.92"	
24346		Reconstruct elbow med ligmnt	Y	G2	121.4718	"$6,500.44"	
24357		Repair elbow perc	Y	G2	28.3836	"$1,518.92"	
24358		Repair elbow w/deb open	Y	G2	28.3836	"$1,518.92"	
24359		Repair elbow deb/attch open	Y	G2	28.3836	"$1,518.92"	
24360		Reconstruct elbow joint	Y	J8	103.2027	"$5,522.79"	
24361		Reconstruct elbow joint	Y	J8	257.1023	"$13,758.57"	
24362		Reconstruct elbow joint	Y	J8	168.9085	"$9,038.97"	
24363		Replace elbow joint	Y	J8	255.1437	"$13,653.76"	
24365		Reconstruct head of radius	Y	J8	179.3168	"$9,595.96"	
24366		Reconstruct head of radius	Y	J8	179.0118	"$9,579.64"	
24370		Revise reconst elbow joint	Y	J8	161.204	"$8,626.67"	
24371		Revise reconst elbow joint	Y	J8	232.1794	"$12,424.85"	
24400		Revision of humerus	Y	G2	63.4025	"$3,392.92"	
24410		Revision of humerus	Y	G2	121.4718	"$6,500.44"	
24420		Revision of humerus	Y	G2	63.4025	"$3,392.92"	
24430		Repair of humerus	Y	J8	162.0679	"$8,672.90"	
24435		Repair humerus with graft	Y	J8	160.6043	"$8,594.58"	
24470		Revision of elbow joint	Y	A2	28.3836	"$1,518.92"	
24495		Decompression of forearm	Y	A2	63.4025	"$3,392.92"	
24498		Reinforce humerus	Y	J8	162.7387	"$8,708.80"	
24500		Treat humerus fracture	Y	A2	2.2859	$122.33	
24505		Treat humerus fracture	Y	A2	15.3049	$819.03	
24515		Treat humerus fracture	Y	J8	158.0123	"$8,455.87"	
24516		Treat humerus fracture	Y	J8	160.7264	"$8,601.11"	
24530		Treat humerus fracture	Y	A2	2.2859	$122.33	
24535		Treat humerus fracture	Y	A2	15.3049	$819.03	
24538		Treat humerus fracture	Y	A2	63.4025	"$3,392.92"	
24545		Treat humerus fracture	Y	J8	165.9405	"$8,880.14"	
24546		Treat humerus fracture	Y	J8	169.1626	"$9,052.57"	
24560		Treat humerus fracture	Y	A2	2.2859	$122.33	
24565		Treat humerus fracture	Y	A2	15.3049	$819.03	
24566		Treat humerus fracture	Y	A2	15.3049	$819.03	
24575		Treat humerus fracture	Y	J8	153.3673	"$8,207.30"	
24576		Treat humerus fracture	Y	A2	2.2859	$122.33	
24577		Treat humerus fracture	Y	A2	15.3049	$819.03	
24579		Treat humerus fracture	Y	J8	153.6519	"$8,222.53"	
24582		Treat humerus fracture	Y	A2	63.4025	"$3,392.92"	
24586		Treat elbow fracture	Y	J8	162.4745	"$8,694.66"	
24587		Treat elbow fracture	Y	J8	170.4535	"$9,121.65"	
24600		Treat elbow dislocation	Y	A2	2.2859	$122.33	
24605		Treat elbow dislocation	Y	A2	15.3049	$819.03	
24615		Treat elbow dislocation	Y	J8	92.3375	"$4,941.35"	
24620		Treat elbow fracture	Y	A2	15.3049	$819.03	
24635		Treat elbow fracture	Y	J8	82.2945	"$4,403.91"	
24640		Treat elbow dislocation	Y	P3		$59.59	
24650		Treat radius fracture	Y	P2	2.2859	$122.33	
24655		Treat radius fracture	Y	A2	15.3049	$819.03	
24665		Treat radius fracture	Y	A2	63.4025	"$3,392.92"	
24666		Treat radius fracture	Y	J8	176.9688	"$9,470.31"	
24670		Treat ulnar fracture	Y	A2	2.2859	$122.33	
24675		Treat ulnar fracture	Y	A2	15.3049	$819.03	
24685		Treat ulnar fracture	Y	J8	80.7243	"$4,319.88"	
24800		Fusion of elbow joint	Y	A2	63.4025	"$3,392.92"	
24802		Fusion/graft of elbow joint	Y	G2	121.4718	"$6,500.44"	
24925		Amputation follow-up surgery	Y	A2	28.3836	"$1,518.92"	
25000		Incision of tendon sheath	Y	A2	15.3049	$819.03	
25001		Incise flexor carpi radialis	Y	G2	28.3836	"$1,518.92"	
25020		Decompress forearm 1 space	Y	A2	15.3049	$819.03	
25023		Decompress forearm 1 space	Y	A2	28.3836	"$1,518.92"	
25024		Decompress forearm 2 spaces	Y	A2	28.3836	"$1,518.92"	
25025		Decompress forearm 2 spaces	Y	A2	15.3049	$819.03	
25028		Drainage of forearm lesion	Y	A2	28.3836	"$1,518.92"	
25031		Drainage of forearm bursa	Y	A2	15.3049	$819.03	
25035		Treat forearm bone lesion	Y	A2	63.4025	"$3,392.92"	
25040		Explore/treat wrist joint	Y	A2	28.3836	"$1,518.92"	
25065		Biopsy forearm soft tissues	Y	P3		$176.49	
25066		Biopsy forearm soft tissues	Y	A2	21.6231	"$1,157.14"	
25071		Exc forearm les sc 3 cm/>	Y	G2	12.7612	$682.90	
25073		Exc forearm tum deep 3 cm/>	Y	G2	21.6231	"$1,157.14"	
25075		Exc forearm les sc < 3 cm	Y	G2	12.7612	$682.90	
25076		Exc forearm tum deep < 3 cm	Y	G2	12.7612	$682.90	
25077		Resect forearm/wrist tum<3cm	Y	G2	21.6231	"$1,157.14"	
25078		Resect forarm/wrist tum 3cm>	Y	G2	21.6231	"$1,157.14"	
25085		Incision of wrist capsule	Y	A2	28.3836	"$1,518.92"	
25100		Biopsy of wrist joint	Y	A2	28.3836	"$1,518.92"	
25101		Explore/treat wrist joint	Y	A2	28.3836	"$1,518.92"	
25105		Remove wrist joint lining	Y	A2	28.3836	"$1,518.92"	
25107		Remove wrist joint cartilage	Y	A2	28.3836	"$1,518.92"	
25109		Excise tendon forearm/wrist	Y	G2	28.3836	"$1,518.92"	
25110		Remove wrist tendon lesion	Y	A2	15.3049	$819.03	
25111		Remove wrist tendon lesion	Y	A2	15.3049	$819.03	
25112		Reremove wrist tendon lesion	Y	A2	15.3049	$819.03	
25115		Remove wrist/forearm lesion	Y	A2	15.3049	$819.03	
25116		Remove wrist/forearm lesion	Y	A2	28.3836	"$1,518.92"	
25118		Excise wrist tendon sheath	Y	A2	15.3049	$819.03	
25119		Partial removal of ulna	Y	A2	28.3836	"$1,518.92"	
25120		Removal of forearm lesion	Y	A2	28.3836	"$1,518.92"	
25125		Remove/graft forearm lesion	Y	A2	15.3049	$819.03	
25126		Remove/graft forearm lesion	Y	J8	35.7462	"$1,912.92"	
25130		Removal of wrist lesion	Y	A2	28.3836	"$1,518.92"	
25135		Remove & graft wrist lesion	Y	A2	63.4025	"$3,392.92"	
25136		Remove & graft wrist lesion	Y	A2	63.4025	"$3,392.92"	
25145		Remove forearm bone lesion	Y	A2	28.3836	"$1,518.92"	
25150		Partial removal of ulna	Y	A2	28.3836	"$1,518.92"	
25151		Partial removal of radius	Y	A2	28.3836	"$1,518.92"	
25210		Removal of wrist bone	Y	A2	28.3836	"$1,518.92"	
25215		Removal of wrist bones	Y	A2	28.3836	"$1,518.92"	
25230		Partial removal of radius	Y	A2	28.3836	"$1,518.92"	
25240		Partial removal of ulna	Y	A2	28.3836	"$1,518.92"	
25246		Injection for wrist x-ray	N	N1			
25248		Remove forearm foreign body	Y	A2	15.3049	$819.03	
25250		Removal of wrist prosthesis	N	A2	15.3049	$819.03	
25251		Removal of wrist prosthesis	N	A2	28.3836	"$1,518.92"	
25259		Manipulate wrist w/anesthes	Y	G2	15.3049	$819.03	
25260		Repair forearm tendon/muscle	Y	A2	28.3836	"$1,518.92"	
25263		Repair forearm tendon/muscle	Y	A2	63.4025	"$3,392.92"	
25265		Repair forearm tendon/muscle	Y	A2	28.3836	"$1,518.92"	
25270		Repair forearm tendon/muscle	Y	A2	28.3836	"$1,518.92"	
25272		Repair forearm tendon/muscle	Y	A2	28.3836	"$1,518.92"	
25274		Repair forearm tendon/muscle	Y	A2	28.3836	"$1,518.92"	
25275		Repair forearm tendon sheath	Y	A2	28.3836	"$1,518.92"	
25280		Revise wrist/forearm tendon	Y	A2	28.3836	"$1,518.92"	
25290		Incise wrist/forearm tendon	Y	A2	28.3836	"$1,518.92"	
25295		Release wrist/forearm tendon	Y	A2	28.3836	"$1,518.92"	
25300		Fusion of tendons at wrist	Y	A2	28.3836	"$1,518.92"	
25301		Fusion of tendons at wrist	Y	A2	28.3836	"$1,518.92"	
25310		Transplant forearm tendon	Y	A2	28.3836	"$1,518.92"	
25312		Transplant forearm tendon	Y	A2	28.3836	"$1,518.92"	
25315		Revise palsy hand tendon(s)	Y	A2	63.4025	"$3,392.92"	
25316		Revise palsy hand tendon(s)	Y	A2	63.4025	"$3,392.92"	
25320		Repair/revise wrist joint	Y	G2	63.4025	"$3,392.92"	
25332		Revise wrist joint	Y	J8	36.5394	"$1,955.37"	
25335		Realignment of hand	Y	A2	28.3836	"$1,518.92"	
25337		Reconstruct ulna/radioulnar	Y	A2	63.4025	"$3,392.92"	
25350		Revision of radius	Y	J8	90.6133	"$4,849.08"	
25355		Revision of radius	Y	A2	28.3836	"$1,518.92"	
25360		Revision of ulna	Y	J8	81.7799	"$4,376.37"	
25365		Revise radius & ulna	Y	A2	121.4718	"$6,500.44"	
25370		Revise radius or ulna	Y	A2	28.3836	"$1,518.92"	
25375		Revise radius & ulna	Y	A2	28.3836	"$1,518.92"	
25390		Shorten radius or ulna	Y	J8	83.9392	"$4,491.92"	
25391		Lengthen radius or ulna	Y	J8	164.0399	"$8,778.43"	
25392		Shorten radius & ulna	Y	A2	63.4025	"$3,392.92"	
25393		Lengthen radius & ulna	Y	J8	80.5969	"$4,313.06"	
25394		Repair carpal bone shorten	Y	G2	28.3836	"$1,518.92"	
25400		Repair radius or ulna	Y	J8	84.4964	"$4,521.74"	
25405		Repair/graft radius or ulna	Y	J8	83.6688	"$4,477.45"	
25415		Repair radius & ulna	Y	J8	79.8488	"$4,273.03"	
25420		Repair/graft radius & ulna	Y	J8	79.8488	"$4,273.03"	
25425		Repair/graft radius or ulna	Y	J8	80.7454	"$4,321.01"	
25426		Repair/graft radius & ulna	Y	J8	37.1736	"$1,989.31"	
25430		Vasc graft into carpal bone	Y	G2	28.3836	"$1,518.92"	
25431		Repair nonunion carpal bone	Y	J8	87.4779	"$4,681.29"	
25440		Repair/graft wrist bone	Y	J8	83.0267	"$4,443.09"	
25441		Reconstruct wrist joint	Y	J8	193.8822	"$10,375.41"	
25442		Reconstruct wrist joint	Y	J8	262.2957	"$14,036.49"	
25443		Reconstruct wrist joint	Y	J8	90.3586	"$4,835.45"	
25444		Reconstruct wrist joint	Y	J8	187.2652	"$10,021.31"	
25445		Reconstruct wrist joint	Y	J8	87.1807	"$4,665.39"	
25446		Wrist replacement	Y	J8	268.1709	"$14,350.90"	
25447		Repair wrist joints	Y	A2	28.3836	"$1,518.92"	
25449		Remove wrist joint implant	Y	A2	63.4025	"$3,392.92"	
25450		Revision of wrist joint	Y	A2	28.3836	"$1,518.92"	
25455		Revision of wrist joint	Y	A2	28.3836	"$1,518.92"	
25490		Reinforce radius	Y	A2	63.4025	"$3,392.92"	
25491		Reinforce ulna	Y	A2	121.4718	"$6,500.44"	
25492		Reinforce radius and ulna	Y	A2	28.3836	"$1,518.92"	
25500		Treat fracture of radius	Y	P2	2.2859	$122.33	
25505		Treat fracture of radius	Y	A2	15.3049	$819.03	
25515		Treat fracture of radius	Y	J8	82.6182	"$4,421.23"	
25520		Treat fracture of radius	Y	A2	15.3049	$819.03	
25525		Treat fracture of radius	Y	J8	83.7429	"$4,481.42"	
25526		Treat fracture of radius	Y	G2	63.4025	"$3,392.92"	
25530		Treat fracture of ulna	Y	P2	2.2859	$122.33	
25535		Treat fracture of ulna	Y	A2	2.2859	$122.33	
25545		Treat fracture of ulna	Y	J8	79.573	"$4,258.27"	
25560		Treat fracture radius & ulna	Y	P2	2.2859	$122.33	
25565		Treat fracture radius & ulna	Y	A2	15.3049	$819.03	
25574		Treat fracture radius & ulna	Y	J8	79.8488	"$4,273.03"	
25575		Treat fracture radius/ulna	Y	J8	85.2444	"$4,561.77"	
25600		Treat fracture radius/ulna	Y	P2	2.2859	$122.33	
25605		Treat fracture radius/ulna	Y	A2	15.3049	$819.03	
25606		Treat fx distal radial	Y	A2	28.3836	"$1,518.92"	
25607		Treat fx rad extra-articul	Y	J8	85.0108	"$4,549.27"	
25608		Treat fx rad intra-articul	Y	J8	85.9181	"$4,597.82"	
25609		Treat fx radial 3+ frag	Y	J8	86.0295	"$4,603.78"	
25622		Treat wrist bone fracture	Y	P2	2.2859	$122.33	
25624		Treat wrist bone fracture	Y	A2	15.3049	$819.03	
25628		Treat wrist bone fracture	Y	A2	63.4025	"$3,392.92"	
25630		Treat wrist bone fracture	Y	P2	2.2859	$122.33	
25635		Treat wrist bone fracture	Y	A2	15.3049	$819.03	
25645		Treat wrist bone fracture	Y	A2	28.3836	"$1,518.92"	
25650		Treat wrist bone fracture	Y	P2	2.2859	$122.33	
25651		Pin ulnar styloid fracture	Y	G2	28.3836	"$1,518.92"	
25652		Treat fracture ulnar styloid	Y	J8	79.8488	"$4,273.03"	
25660		Treat wrist dislocation	Y	A2	2.2859	$122.33	
25670		Treat wrist dislocation	Y	A2	63.4025	"$3,392.92"	
25671		Pin radioulnar dislocation	Y	A2	28.3836	"$1,518.92"	
25675		Treat wrist dislocation	Y	A2	2.2859	$122.33	
25676		Treat wrist dislocation	Y	A2	63.4025	"$3,392.92"	
25680		Treat wrist fracture	Y	A2	2.2859	$122.33	
25685		Treat wrist fracture	Y	A2	63.4025	"$3,392.92"	
25690		Treat wrist dislocation	Y	A2	15.3049	$819.03	
25695		Treat wrist dislocation	Y	A2	63.4025	"$3,392.92"	
25800		Fusion of wrist joint	Y	J8	87.7643	"$4,696.62"	
25805		Fusion/graft of wrist joint	Y	J8	87.0535	"$4,658.58"	
25810		Fusion/graft of wrist joint	Y	J8	162.6778	"$8,705.54"	
25820		Fusion of hand bones	Y	J8	86.3903	"$4,623.09"	
25825		Fuse hand bones with graft	Y	J8	82.1566	"$4,396.53"	
25830		Fusion radioulnar jnt/ulna	Y	A2	63.4025	"$3,392.92"	
25907		Amputation follow-up surgery	Y	A2	28.3836	"$1,518.92"	
25922		Amputate hand at wrist	Y	A2	15.3049	$819.03	
25929		Amputation follow-up surgery	Y	A2	17.6771	$945.97	
25931		Amputation follow-up surgery	Y	G2	28.3836	"$1,518.92"	
26010		Drainage of finger abscess	Y	P2	1.9406	$103.85	
26011		Drainage of finger abscess	Y	A2	12.7612	$682.90	
26020		Drain hand tendon sheath	Y	A2	28.3836	"$1,518.92"	
26025		Drainage of palm bursa	Y	A2	28.3836	"$1,518.92"	
26030		Drainage of palm bursas	Y	A2	28.3836	"$1,518.92"	
26034		Treat hand bone lesion	Y	A2	15.3049	$819.03	
26035		Decompress fingers/hand	Y	G2	28.3836	"$1,518.92"	
26037		Decompress fingers/hand	Y	G2	28.3836	"$1,518.92"	
26040		Release palm contracture	Y	A2	15.3049	$819.03	
26045		Release palm contracture	Y	A2	28.3836	"$1,518.92"	
26055		Incise finger tendon sheath	Y	A2	15.3049	$819.03	
26060		Incision of finger tendon	Y	A2	15.3049	$819.03	
26070		Explore/treat hand joint	Y	A2	15.3049	$819.03	
26075		Explore/treat finger joint	Y	A2	28.3836	"$1,518.92"	
26080		Explore/treat finger joint	Y	A2	15.3049	$819.03	
26100		Biopsy hand joint lining	Y	A2	28.3836	"$1,518.92"	
26105		Biopsy finger joint lining	Y	A2	28.3836	"$1,518.92"	
26110		Biopsy finger joint lining	Y	A2	15.3049	$819.03	
26111		Exc hand les sc 1.5 cm/>	Y	G2	12.7612	$682.90	
26113		Exc hand tum deep 1.5 cm/>	Y	G2	12.7612	$682.90	
26115		Exc hand les sc < 1.5 cm	Y	G2	12.7612	$682.90	
26116		Exc hand tum deep < 1.5 cm	Y	G2	12.7612	$682.90	
26117		Rad resect hand tumor < 3 cm	Y	G2	21.6231	"$1,157.14"	
26118		Rad resect hand tumor 3 cm/>	Y	G2	21.6231	"$1,157.14"	
26121		Release palm contracture	Y	A2	28.3836	"$1,518.92"	
26123		Release palm contracture	Y	A2	28.3836	"$1,518.92"	
26125		Release palm contracture	N	N1			
26130		Remove wrist joint lining	Y	A2	28.3836	"$1,518.92"	
26135		Revise finger joint each	Y	A2	28.3836	"$1,518.92"	
26140		Revise finger joint each	Y	A2	15.3049	$819.03	
26145		Tendon excision palm/finger	Y	A2	15.3049	$819.03	
26160		Remove tendon sheath lesion	Y	A2	15.3049	$819.03	
26170		Removal of palm tendon each	Y	A2	15.3049	$819.03	
26180		Removal of finger tendon	Y	A2	15.3049	$819.03	
26185		Remove finger bone	Y	A2	15.3049	$819.03	
26200		Remove hand bone lesion	Y	A2	15.3049	$819.03	
26205		Remove/graft bone lesion	Y	A2	63.4025	"$3,392.92"	
26210		Removal of finger lesion	Y	A2	15.3049	$819.03	
26215		Remove/graft finger lesion	Y	A2	28.3836	"$1,518.92"	
26230		Partial removal of hand bone	Y	A2	28.3836	"$1,518.92"	
26235		Partial removal finger bone	Y	A2	15.3049	$819.03	
26236		Partial removal finger bone	Y	A2	15.3049	$819.03	
26250		Extensive hand surgery	Y	A2	28.3836	"$1,518.92"	
26260		Resect prox finger tumor	Y	A2	28.3836	"$1,518.92"	
26262		Resect distal finger tumor	Y	A2	15.3049	$819.03	
26320		Removal of implant from hand	N	A2	12.7612	$682.90	
26340		Manipulate finger w/anesth	Y	G2	15.3049	$819.03	
26341		Manipulat palm cord post inj	Y	P3		$81.21	
26350		Repair finger/hand tendon	Y	A2	28.3836	"$1,518.92"	
26352		Repair/graft hand tendon	Y	A2	63.4025	"$3,392.92"	
26356		Repair finger/hand tendon	Y	A2	28.3836	"$1,518.92"	
26357		Repair finger/hand tendon	Y	A2	28.3836	"$1,518.92"	
26358		Repair/graft hand tendon	Y	A2	63.4025	"$3,392.92"	
26370		Repair finger/hand tendon	Y	A2	28.3836	"$1,518.92"	
26372		Repair/graft hand tendon	Y	G2	63.4025	"$3,392.92"	
26373		Repair finger/hand tendon	Y	A2	28.3836	"$1,518.92"	
26390		Revise hand/finger tendon	Y	J8	84.6182	"$4,528.26"	
26392		Repair/graft hand tendon	Y	A2	63.4025	"$3,392.92"	
26410		Repair hand tendon	Y	A2	15.3049	$819.03	
26412		Repair/graft hand tendon	Y	A2	28.3836	"$1,518.92"	
26415		Excision hand/finger tendon	Y	A2	28.3836	"$1,518.92"	
26416		Graft hand or finger tendon	Y	A2	28.3836	"$1,518.92"	
26418		Repair finger tendon	Y	A2	15.3049	$819.03	
26420		Repair/graft finger tendon	Y	A2	28.3836	"$1,518.92"	
26426		Repair finger/hand tendon	Y	A2	28.3836	"$1,518.92"	
26428		Repair/graft finger tendon	Y	A2	28.3836	"$1,518.92"	
26432		Repair finger tendon	Y	A2	15.3049	$819.03	
26433		Repair finger tendon	Y	A2	28.3836	"$1,518.92"	
26434		Repair/graft finger tendon	Y	A2	28.3836	"$1,518.92"	
26437		Realignment of tendons	Y	A2	28.3836	"$1,518.92"	
26440		Release palm/finger tendon	Y	A2	15.3049	$819.03	
26442		Release palm & finger tendon	Y	A2	28.3836	"$1,518.92"	
26445		Release hand/finger tendon	Y	A2	28.3836	"$1,518.92"	
26449		Release forearm/hand tendon	Y	A2	28.3836	"$1,518.92"	
26450		Incision of palm tendon	Y	A2	28.3836	"$1,518.92"	
26455		Incision of finger tendon	Y	A2	15.3049	$819.03	
26460		Incise hand/finger tendon	Y	A2	15.3049	$819.03	
26471		Fusion of finger tendons	Y	A2	28.3836	"$1,518.92"	
26474		Fusion of finger tendons	Y	A2	15.3049	$819.03	
26476		Tendon lengthening	Y	A2	28.3836	"$1,518.92"	
26477		Tendon shortening	Y	A2	28.3836	"$1,518.92"	
26478		Lengthening of hand tendon	Y	A2	28.3836	"$1,518.92"	
26479		Shortening of hand tendon	Y	A2	28.3836	"$1,518.92"	
26480		Transplant hand tendon	Y	A2	28.3836	"$1,518.92"	
26483		Transplant/graft hand tendon	Y	A2	28.3836	"$1,518.92"	
26485		Transplant palm tendon	Y	A2	28.3836	"$1,518.92"	
26489		Transplant/graft palm tendon	Y	A2	28.3836	"$1,518.92"	
26490		Revise thumb tendon	Y	A2	28.3836	"$1,518.92"	
26492		Tendon transfer with graft	Y	A2	28.3836	"$1,518.92"	
26494		Hand tendon/muscle transfer	Y	A2	28.3836	"$1,518.92"	
26496		Revise thumb tendon	Y	A2	28.3836	"$1,518.92"	
26497		Finger tendon transfer	Y	A2	28.3836	"$1,518.92"	
26498		Finger tendon transfer	Y	A2	28.3836	"$1,518.92"	
26499		Revision of finger	Y	A2	28.3836	"$1,518.92"	
26500		Hand tendon reconstruction	Y	A2	63.4025	"$3,392.92"	
26502		Hand tendon reconstruction	Y	A2	28.3836	"$1,518.92"	
26508		Release thumb contracture	Y	A2	28.3836	"$1,518.92"	
26510		Thumb tendon transfer	Y	A2	28.3836	"$1,518.92"	
26516		Fusion of knuckle joint	Y	J8	36.4279	"$1,949.40"	
26517		Fusion of knuckle joints	Y	A2	28.3836	"$1,518.92"	
26518		Fusion of knuckle joints	Y	G2	63.4025	"$3,392.92"	
26520		Release knuckle contracture	Y	A2	28.3836	"$1,518.92"	
26525		Release finger contracture	Y	A2	15.3049	$819.03	
26530		Revise knuckle joint	Y	J8	81.8436	"$4,379.78"	
26531		Revise knuckle with implant	Y	J8	86.0614	"$4,605.49"	
26535		Revise finger joint	Y	A2	28.3836	"$1,518.92"	
26536		Revise/implant finger joint	Y	J8	83.1487	"$4,449.62"	
26540		Repair hand joint	Y	A2	28.3836	"$1,518.92"	
26541		Repair hand joint with graft	Y	J8	37.5631	"$2,010.15"	
26542		Repair hand joint with graft	Y	A2	28.3836	"$1,518.92"	
26545		Reconstruct finger joint	Y	G2	28.3836	"$1,518.92"	
26546		Repair nonunion hand	Y	A2	63.4025	"$3,392.92"	
26548		Reconstruct finger joint	Y	A2	28.3836	"$1,518.92"	
26550		Construct thumb replacement	Y	A2	28.3836	"$1,518.92"	
26555		Positional change of finger	Y	A2	63.4025	"$3,392.92"	
26560		Repair of web finger	Y	A2	15.3049	$819.03	
26561		Repair of web finger	Y	A2	28.3836	"$1,518.92"	
26562		Repair of web finger	Y	A2	28.3836	"$1,518.92"	
26565		Correct metacarpal flaw	Y	A2	28.3836	"$1,518.92"	
26567		Correct finger deformity	Y	A2	28.3836	"$1,518.92"	
26568		Lengthen metacarpal/finger	Y	J8	85.3982	"$4,570.00"	
26580		Repair hand deformity	Y	A2	28.3836	"$1,518.92"	
26587		Reconstruct extra finger	Y	A2	28.3836	"$1,518.92"	
26590		Repair finger deformity	Y	A2	15.3049	$819.03	
26591		Repair muscles of hand	Y	A2	28.3836	"$1,518.92"	
26593		Release muscles of hand	Y	A2	28.3836	"$1,518.92"	
26596		Excision constricting tissue	Y	A2	28.3836	"$1,518.92"	
26600		Treat metacarpal fracture	Y	P2	2.2859	$122.33	
26605		Treat metacarpal fracture	Y	A2	2.2859	$122.33	
26607		Treat metacarpal fracture	Y	A2	28.3836	"$1,518.92"	
26608		Treat metacarpal fracture	Y	A2	28.3836	"$1,518.92"	
26615		Treat metacarpal fracture	Y	A2	28.3836	"$1,518.92"	
26641		Treat thumb dislocation	Y	P2	2.2859	$122.33	
26645		Treat thumb fracture	Y	A2	15.3049	$819.03	
26650		Treat thumb fracture	Y	A2	28.3836	"$1,518.92"	
26665		Treat thumb fracture	Y	A2	28.3836	"$1,518.92"	
26670		Treat hand dislocation	Y	P2	2.2859	$122.33	
26675		Treat hand dislocation	Y	A2	15.3049	$819.03	
26676		Pin hand dislocation	Y	A2	28.3836	"$1,518.92"	
26685		Treat hand dislocation	Y	A2	28.3836	"$1,518.92"	
26686		Treat hand dislocation	Y	A2	28.3836	"$1,518.92"	
26700		Treat knuckle dislocation	Y	P2	2.2859	$122.33	
26705		Treat knuckle dislocation	Y	A2	15.3049	$819.03	
26706		Pin knuckle dislocation	Y	A2	28.3836	"$1,518.92"	
26715		Treat knuckle dislocation	Y	A2	28.3836	"$1,518.92"	
26720		Treat finger fracture each	Y	P2	2.2859	$122.33	
26725		Treat finger fracture each	Y	P2	2.2859	$122.33	
26727		Treat finger fracture each	Y	A2	28.3836	"$1,518.92"	
